,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,29.71,1.0,15.04,1.08,2.62,1.22,1.86,10.64
PRES_0,1.0,1.0,29.69,1.0,15.03,1.08,2.62,1.22,1.86,10.63
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,29.64,1.0,14.92,1.08,2.62,1.21,1.85,10.7
DEWP_0,0.07,0.07,,0.07,1.02,0.07,0.17,0.08,0.13,0.55
WSPM_0,0.92,0.92,34.62,0.93,13.31,1.0,2.42,1.13,1.69,9.6
WSPM_1,0.38,0.38,,0.38,6.34,0.41,1.0,0.46,0.78,4.66
PM10_0,0.82,0.82,24.36,0.82,13.16,0.89,2.2,1.0,1.52,9.96
PM10_1,0.54,0.54,,0.54,5.84,0.58,1.33,0.65,1.0,5.21
PM10_2,0.09,0.09,,0.09,,0.1,0.24,0.12,0.18,1.0
