,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.48,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_0,1.0,1.0,0.83,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.47,1.0,0.58,0.86,0.25,0.76,0.49,0.21
DEWP_0,6.4,6.39,,7.31,0.03,5.47,0.93,4.3,3.19,
WSPM_0,1.05,1.05,0.53,1.04,0.55,0.9,0.27,0.8,0.5,0.2
WSPM_1,1.8,1.8,,1.8,0.35,1.55,0.32,1.32,1.03,0.37
PM10_0,1.13,1.13,0.36,1.12,0.4,0.97,0.28,0.77,0.72,0.51
PM10_1,1.45,1.45,,1.44,,1.24,0.34,1.36,0.44,0.15
PM10_2,4.13,4.13,,4.11,,3.53,0.95,4.71,1.41,0.05
