,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.74,7.31,0.81,3.6,0.8,3.82,1.13,0.71,1.07,0.89,1.44
TEMP_0,8.24,0.69,4.36,0.8,5.26,0.8,1.27,0.82,1.29,1.05,0.66
PRES_0,0.83,3.91,0.73,10.39,0.84,3.34,1.15,0.74,1.14,0.87,1.14
PRES_1,3.52,0.77,10.34,0.7,3.64,0.83,1.24,0.77,1.2,1.08,0.76
DEWP_1,0.81,4.41,0.85,3.38,0.72,12.55,1.12,0.88,1.15,0.88,1.26
DEWP_0,3.79,0.76,3.31,0.82,13.05,0.7,1.29,0.66,1.19,1.07,0.71
WSPM_0,1.05,1.06,1.05,1.09,1.0,1.19,0.9,0.87,1.0,0.71,0.64
WSPM_1,2.09,1.86,2.2,1.86,2.92,1.52,2.35,0.55,1.44,2.01,2.84
PM10_0,1.21,1.28,1.3,1.24,1.31,1.24,1.15,0.6,0.78,1.74,8.73
PM10_1,1.54,1.63,1.48,1.76,1.49,1.81,1.41,1.14,2.67,0.63,1.03
PM10_2,5.78,2.17,4.45,2.52,5.01,2.54,2.9,3.63,15.78,2.62,0.32
