,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.55,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.45,0.86,0.2,0.73,0.43,0.15
DEWP_0,1.26,1.26,,1.25,0.01,1.08,0.18,0.85,0.49,0.01
WSPM_0,1.0,1.0,0.5,1.0,0.4,0.86,0.2,0.73,0.42,0.14
WSPM_1,1.01,1.01,,1.01,0.18,0.86,0.17,0.72,0.51,0.16
PM10_0,1.0,1.0,0.25,1.0,0.3,0.86,0.2,0.68,0.51,0.29
PM10_1,1.0,1.0,,1.0,0.45,0.86,0.19,0.81,0.3,0.07
PM10_2,1.0,1.0,,1.0,,0.86,0.2,0.95,0.32,0.01
