,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.54,1.35,0.78,0.61,0.58,1.23,0.61,0.7,0.65,0.67,1.09
TEMP_0,1.22,0.48,0.53,1.12,0.83,0.53,0.57,0.66,0.62,0.64,0.75
PRES_1,0.94,0.72,0.66,1.86,0.91,0.76,0.72,0.82,0.76,0.83,1.12
PRES_0,0.41,0.82,0.98,0.35,0.41,1.06,0.44,0.54,0.49,0.46,0.65
DEWP_1,0.66,1.03,0.84,0.71,0.62,2.16,0.68,0.91,0.78,0.71,1.02
DEWP_0,0.83,0.43,0.45,1.06,1.38,0.39,0.49,0.47,0.48,0.63,0.77
WSPM_0,0.98,1.01,0.96,1.06,0.94,1.16,0.86,1.22,0.98,0.93,1.24
WSPM_1,0.27,0.26,0.24,0.33,0.37,0.22,0.27,0.16,0.21,0.45,1.21
PM10_0,0.71,0.74,0.68,0.84,0.77,0.72,0.65,0.64,0.57,1.04,8.62
PM10_1,0.49,0.51,0.49,0.5,0.45,0.67,0.43,0.64,0.69,0.35,0.62
PM10_2,0.21,0.16,0.17,0.2,0.18,0.2,0.16,0.29,0.3,0.2,0.09
