,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.33,0.96,0.53,1.0,0.23,0.77,0.44,0.75,0.49,0.48
TEMP_1,,,,,,,,,,,
PRES_1,1.04,0.26,0.97,1.01,1.04,0.29,0.8,0.46,0.77,0.53,0.53
PRES_0,3.79,,5.29,0.28,3.78,0.28,2.85,1.73,3.47,1.33,1.05
DEWP_0,1.0,0.27,0.96,0.53,1.0,0.28,0.77,0.44,0.75,0.49,0.48
DEWP_1,18.46,,18.16,,18.43,0.07,15.26,,,6.83,
WSPM_0,1.16,0.23,1.12,0.52,1.16,0.21,0.87,0.65,0.95,0.49,0.44
WSPM_1,1.96,,1.85,1.95,1.95,,1.68,0.55,1.2,1.88,3.55
PM10_0,1.31,0.34,1.23,1.22,1.31,,1.03,0.47,0.78,0.93,2.62
PM10_1,1.85,0.36,1.82,0.57,1.85,0.24,1.38,1.27,1.92,0.57,0.65
PM10_2,2.99,,2.89,1.09,2.99,0.17,2.3,2.0,5.4,1.32,0.36
