,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.93,1.14,1.12,0.87,1.0,1.09,1.12,0.66,1.08,0.83
TEMP_0,1.21,0.92,1.06,1.08,1.22,0.91,1.16,0.7,1.13,0.82
PRES_1,1.0,0.88,0.96,1.07,1.05,0.86,1.06,0.64,1.03,0.78
PRES_0,1.06,1.29,1.42,0.89,1.13,1.33,1.26,0.73,1.23,0.89
DEWP_1,0.92,1.04,1.06,0.83,0.95,1.17,1.07,0.63,1.05,0.76
DEWP_0,1.26,0.97,1.11,1.26,1.52,0.9,1.23,0.73,1.19,0.94
WSPM_0,0.88,0.87,0.94,0.8,0.92,0.87,0.98,0.6,0.96,0.68
WSPM_1,1.48,1.32,1.49,1.51,1.78,1.21,1.62,0.84,1.5,2.04
PM10_0,0.91,0.9,0.98,0.86,0.98,0.87,1.02,0.61,0.97,0.82
PM10_1,1.28,1.21,1.32,1.11,1.28,1.22,1.39,0.72,1.48,0.86
