,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.13,0.94,0.48,0.86,0.63,0.17
PRES_0,1.0,1.0,,1.0,0.13,0.94,0.48,0.86,0.63,0.17
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.94,0.48,0.86,0.63,0.17
DEWP_0,1.98,1.98,,,3.51,1.25,1.99,2.02,,
WSPM_0,1.02,1.02,,1.02,0.09,1.0,0.37,0.87,0.65,0.19
WSPM_1,1.27,1.27,,1.26,0.33,0.91,1.16,1.13,0.76,
PM10_0,1.05,1.05,,1.05,0.16,0.98,0.54,1.06,0.32,
PM10_1,1.17,1.17,,1.17,,1.13,0.46,0.49,1.24,0.21
PM10_2,1.81,1.81,,1.81,,1.61,,,1.23,2.48
