,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.02,0.89,0.23,0.74,0.39,0.03
PRES_0,1.0,1.0,,1.0,0.02,0.89,0.23,0.74,0.4,0.03
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.89,0.23,0.74,0.4,0.03
DEWP_0,3.9,3.9,,,0.91,2.31,1.9,3.42,,
WSPM_0,1.04,1.04,,1.04,0.01,0.96,0.18,0.77,0.41,0.03
WSPM_1,1.62,1.62,,1.6,0.06,1.09,0.72,1.24,0.61,
PM10_0,1.1,1.1,,1.1,0.02,0.97,0.28,0.96,0.21,
PM10_1,1.36,1.36,,1.36,,1.25,0.26,0.49,0.91,0.04
PM10_2,3.26,3.26,,3.26,,2.75,,,1.39,0.76
