,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.32,0.99,0.64,1.0,0.37,0.95,0.8,0.95,0.78
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.32,1.0,0.64,1.01,0.38,0.96,0.81,0.96,0.79
PRES_0,1.57,,1.55,1.0,1.57,0.55,1.51,1.06,1.5,1.23
DEWP_0,1.0,0.32,0.99,0.63,1.0,0.37,0.95,0.8,0.95,0.78
DEWP_1,2.7,,2.74,,2.69,1.0,2.71,,,2.46
WSPM_0,1.05,0.33,1.04,0.63,1.05,0.32,1.0,0.84,1.01,0.78
WSPM_1,1.26,,1.23,1.07,1.26,,1.19,1.0,1.19,1.47
PM10_0,1.05,0.33,1.04,0.69,1.05,0.78,0.99,0.86,1.0,0.82
PM10_1,1.28,,1.26,0.78,1.28,0.35,1.22,0.82,1.21,1.0
