,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,0.99,0.98,1.02,1.04,0.89,0.97,0.8,1.01,0.79
TEMP_0,1.18,0.89,1.18,0.9,1.01,1.16,1.05,0.88,1.12,0.89
PRES_0,0.94,0.92,0.95,1.11,1.01,0.88,0.96,0.79,1.0,0.76
PRES_1,1.19,0.94,1.35,0.87,1.03,1.29,1.08,0.89,1.14,0.96
DEWP_0,1.04,0.86,1.07,0.87,0.93,1.13,0.98,0.82,1.03,0.82
DEWP_1,1.0,1.07,1.05,1.11,1.24,0.9,1.03,0.85,1.09,0.84
WSPM_0,0.96,0.88,0.99,0.91,0.98,0.9,0.95,0.8,1.01,0.76
WSPM_1,1.12,1.01,1.16,1.0,1.09,1.14,1.09,0.88,1.13,0.95
PM10_0,0.95,0.86,0.98,0.87,0.94,0.91,0.93,0.77,0.96,0.82
PM10_1,1.15,1.07,1.2,1.11,1.19,1.11,1.16,0.94,1.29,0.85
