,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.85,0.55,0.88,1.96,1.51,0.43,1.16,3.13,1.39,1.86,1.63
TEMP_0,0.62,2.1,1.43,0.57,0.66,2.04,1.15,3.14,1.33,1.8,2.41
PRES_1,1.04,1.66,1.51,0.5,0.9,1.61,1.15,3.18,1.38,1.78,2.07
PRES_0,1.71,0.55,0.43,2.85,1.51,0.36,1.16,3.05,1.33,1.93,1.86
DEWP_1,1.66,0.81,0.94,1.81,1.6,0.32,1.17,2.55,1.27,2.05,2.05
DEWP_0,0.63,2.02,1.46,0.5,0.31,2.59,1.13,4.09,1.52,1.47,1.91
WSPM_0,1.3,1.24,1.13,1.32,1.16,1.07,1.17,2.67,1.31,1.92,2.12
WSPM_1,1.12,1.45,1.22,1.25,0.83,1.84,1.06,5.83,1.67,1.31,1.32
PM10_0,1.26,1.23,1.16,1.2,1.02,1.4,1.14,4.24,1.75,1.23,0.58
PM10_1,1.34,1.26,1.09,1.43,1.26,0.88,1.17,1.97,1.04,2.81,2.16
PM10_2,1.03,1.64,1.2,1.47,1.08,1.07,1.17,0.53,0.15,2.03,10.54
