,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.56,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.01,1.0,0.37,1.0,0.45,0.86,0.2,0.73,0.43,0.15
DEWP_0,284.65,284.32,,283.39,1.44,243.39,41.26,191.48,111.13,3.39
WSPM_0,1.17,1.17,0.59,1.17,0.47,1.0,0.24,0.85,0.49,0.16
WSPM_1,6.96,6.96,,6.93,1.26,5.96,1.15,4.98,3.49,1.1
PM10_0,1.49,1.49,0.37,1.48,0.45,1.28,0.29,1.01,0.76,0.43
PM10_1,3.45,3.45,,3.44,1.56,2.95,0.66,2.81,1.04,0.25
PM10_2,113.13,113.0,,112.63,,96.73,22.44,107.93,36.0,1.44
