,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.94,1.01,0.87,1.11,1.27,1.53,1.0,1.0,1.13,1.05,1.28,1.19,,1.19,,1.54,1.34,1.0,1.33,1.02,1.34,1.34,,1.34,,1.34,,1.3,1.23
ENE,0.98,0.95,0.97,1.0,,1.33,0.93,1.14,,,1.46,1.18,0.95,1.08,,,1.34,1.05,1.34,1.05,1.35,1.35,,1.35,,1.35,,1.32,1.25
ESE,1.11,1.25,0.92,1.25,1.08,1.06,1.05,0.94,1.14,0.85,,1.32,,,1.15,,1.42,0.98,1.41,0.96,1.39,1.39,,1.39,,1.39,,1.36,1.21
NE,1.09,0.94,1.32,0.9,,,0.96,1.27,,,,0.97,1.19,0.98,,,1.38,1.23,1.38,1.22,1.41,1.41,,1.41,,1.41,,1.38,1.26
SSW,1.8,,1.75,,0.85,0.93,,1.29,0.91,0.98,0.92,,,,,0.85,1.41,1.24,1.41,1.23,1.44,1.43,,1.43,,1.44,,1.43,1.14
SW,1.46,1.65,1.97,,0.92,0.85,,1.15,1.18,1.41,0.83,,,,1.19,0.76,1.4,1.5,1.43,1.04,1.44,1.44,,1.44,,1.44,,1.44,1.12
NNE,1.41,1.14,1.81,0.96,,,0.87,,,,,0.83,1.23,1.1,,,1.43,1.34,1.45,1.18,1.47,1.47,,1.47,,1.47,,1.44,1.35
SE,1.34,1.48,1.05,1.43,1.08,1.52,,0.86,0.89,0.92,,,,,,,1.48,1.15,1.48,1.12,1.48,1.48,,1.48,,1.47,,1.44,1.33
S,1.7,,1.27,,0.89,0.93,,1.34,0.88,1.01,0.93,,,,,,1.45,1.28,1.47,1.16,1.48,1.48,,1.48,,1.48,,1.49,1.1
SSE,1.48,,1.37,,1.15,0.92,,0.96,0.87,0.88,,,,,,,1.52,1.09,1.52,1.07,1.5,1.5,,1.5,,1.5,,1.48,1.26
WSW,1.49,1.49,,,1.26,1.01,,,1.52,,0.8,,,,,0.68,1.47,1.37,1.47,1.56,1.51,1.51,,1.5,,1.5,,1.48,1.27
N,1.29,1.04,1.3,1.1,,,1.09,,,,,0.84,0.99,0.9,1.06,,1.48,1.22,1.47,1.35,1.51,1.51,,1.51,,1.51,,1.49,1.24
NW,,1.76,,1.43,,,1.27,,,,,1.21,0.77,0.8,0.74,1.09,1.52,,1.53,,1.57,1.57,,1.57,,1.58,,1.63,1.11
NNW,1.26,1.45,,1.45,,,0.97,,,,,1.12,0.89,0.82,1.04,,1.55,1.98,1.57,,1.61,1.62,,1.63,,1.61,,1.64,1.19
WNW,,,1.27,,,1.27,,,,,,1.23,0.99,0.91,0.81,1.23,1.59,1.61,1.59,,1.65,1.65,,1.65,,1.65,,1.69,1.21
W,1.05,,,,1.68,1.61,,,,,1.13,,1.03,,0.72,0.85,1.6,1.65,1.58,,1.66,1.66,,1.66,,1.66,,1.62,1.47
