,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.36,1.0,0.4,0.92,0.5,0.87,0.69,0.34
PRES_0,1.0,1.0,,1.0,0.4,0.92,0.5,0.87,0.69,0.34
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.36,1.0,0.54,0.92,0.5,0.88,0.69,0.35
DEWP_0,8.47,8.46,,11.92,0.31,9.01,2.37,6.57,,
WSPM_0,1.06,1.06,0.35,1.06,0.53,0.96,0.59,0.94,0.72,0.36
WSPM_1,2.07,2.07,,2.08,0.47,1.98,0.72,1.71,1.68,0.7
PM10_0,1.16,1.16,0.34,1.16,0.42,1.07,0.59,0.92,1.06,0.8
PM10_1,1.59,1.59,,1.59,,1.45,0.75,1.83,0.77,0.38
PM10_2,5.89,5.89,,5.87,,5.31,3.64,6.45,3.22,0.38
