,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,14.85,1.08,2.63,1.22,1.86,10.64
PRES_0,1.0,1.0,,1.0,14.84,1.08,2.62,1.22,1.86,10.63
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,1.08,2.62,1.22,1.85,10.61
DEWP_0,0.07,0.07,,,1.0,0.07,0.18,0.08,,
WSPM_0,0.92,0.93,,0.93,13.91,1.0,2.43,1.13,1.7,10.5
WSPM_1,0.38,0.38,,0.38,5.61,0.41,1.0,0.46,0.77,
PM10_0,0.82,0.82,,0.82,12.34,0.88,2.19,1.0,1.52,
PM10_1,0.54,0.54,,0.54,,0.59,1.31,0.66,1.0,5.61
PM10_2,0.09,0.09,,0.09,,0.1,,,0.18,1.0
