,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.52,1.01,0.87,1.0,0.74,1.08,1.24,1.08,1.2,1.03
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.58,1.02,0.71,1.0,0.71,1.08,1.26,1.09,1.2,1.02
PRES_0,1.22,,1.17,2.48,1.22,1.35,1.33,1.27,1.22,1.7,1.53
DEWP_0,1.0,0.56,1.01,0.87,1.0,0.7,1.08,1.24,1.08,1.2,1.03
DEWP_1,1.55,,1.58,,1.55,6.62,1.73,,1.43,2.12,
WSPM_0,1.02,0.57,1.04,0.85,1.02,0.57,1.11,1.2,1.09,1.24,1.04
WSPM_1,1.11,,1.12,1.15,1.11,,1.17,1.57,1.24,1.31,1.38
PM10_0,1.04,0.64,1.06,0.9,1.04,1.2,1.11,1.46,1.2,1.13,0.88
PM10_1,1.09,0.63,1.11,0.98,1.09,0.66,1.19,1.2,1.18,1.51,1.1
PM10_2,1.18,,1.18,1.17,1.18,0.8,1.28,0.8,0.76,1.54,2.09
