,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.63,10.16,0.78,2.19,1.4,0.73,1.11,0.85,1.04,0.95,1.06
TEMP_0,10.12,0.42,1.76,0.55,0.7,2.24,0.87,1.38,0.95,1.08,0.92
PRES_0,0.78,1.74,0.67,19.72,1.38,0.74,1.0,1.0,1.11,0.92,0.88
PRES_1,2.14,0.55,19.53,0.36,0.66,2.97,1.0,1.01,0.84,1.2,1.35
DEWP_0,1.41,0.7,1.37,0.66,0.58,13.59,1.11,0.85,0.87,1.16,1.15
DEWP_1,0.73,2.26,0.74,2.9,13.67,0.46,0.89,1.31,1.23,0.85,0.86
WSPM_0,1.1,0.88,1.01,0.99,1.11,0.89,0.76,2.54,1.1,0.93,0.86
WSPM_1,0.86,1.35,0.99,1.02,0.84,1.32,2.54,0.46,0.85,1.16,1.48
PM10_0,1.04,0.95,1.11,0.84,0.87,1.23,1.09,0.86,0.54,4.25,
PM10_1,0.95,1.09,0.92,1.19,1.16,0.85,0.94,1.15,4.21,0.5,2.23
PM10_2,1.08,0.9,0.89,1.32,1.13,0.87,0.87,1.4,,2.19,0.11
