,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.0,0.98,0.99,0.91,0.89,0.87,0.82,0.82,0.84,0.82,0.9,0.85,0.77,0.79,0.78,0.83,1.56,1.1,1.55,1.17,1.41,1.39,1.41,1.37,1.41,1.39,1.64,0.39,1.55,1.1
E,1.01,1.0,1.0,0.93,0.9,0.87,0.85,0.82,0.87,0.82,0.88,0.82,0.82,0.79,0.74,0.8,1.59,1.09,1.59,1.14,1.44,1.41,1.41,1.42,1.43,1.44,1.67,0.35,1.58,1.14
NE,1.0,0.99,1.0,0.9,0.94,0.95,0.85,0.85,0.85,0.81,0.93,0.84,0.74,0.75,0.83,0.85,1.59,1.16,1.57,1.22,1.43,1.41,1.45,1.4,1.45,1.43,1.67,0.48,1.58,1.12
ESE,1.09,1.07,1.06,1.0,0.97,0.86,0.9,0.94,0.94,0.94,0.93,0.85,0.9,0.85,0.8,0.78,1.7,1.16,1.68,1.23,1.55,1.49,1.52,1.5,1.52,1.51,1.78,0.34,1.68,1.25
SW,1.14,1.12,1.08,1.03,1.0,1.06,1.0,0.95,0.95,1.06,0.89,1.01,0.96,0.95,0.96,0.76,1.73,1.14,1.73,1.08,1.61,1.54,1.52,1.64,1.52,1.6,1.81,0.37,1.72,1.37
NW,1.1,1.15,1.06,1.2,1.01,1.0,1.11,0.92,1.04,0.91,0.88,0.89,0.95,0.99,0.88,0.83,1.7,2.19,1.69,1.76,1.56,1.52,1.68,1.51,1.72,1.53,1.82,0.57,1.73,1.29
SSW,1.24,1.19,1.2,1.13,1.05,1.09,1.0,1.14,1.01,1.1,0.94,0.96,0.95,0.97,1.01,0.8,1.82,1.25,1.81,1.24,1.69,1.63,1.62,1.75,1.61,1.66,1.91,,1.81,1.44
NNE,1.19,1.14,1.16,1.06,1.03,1.04,0.87,1.0,0.89,0.96,1.01,1.0,0.8,0.8,0.91,0.92,1.8,1.4,1.79,1.47,1.64,1.66,1.68,1.59,1.68,1.6,1.92,0.66,1.81,1.25
SE,1.19,1.14,1.13,1.06,1.09,0.99,1.01,1.1,1.0,1.07,0.98,0.9,0.97,0.96,0.82,0.82,1.85,1.24,1.85,1.3,1.71,1.63,1.65,1.68,1.63,1.65,1.93,0.32,1.83,1.48
N,1.2,1.14,1.2,1.03,1.0,1.05,0.91,1.02,0.95,1.0,0.9,0.99,0.93,0.91,0.9,0.75,1.81,1.56,1.8,1.56,1.67,1.62,1.73,1.58,1.72,1.61,1.93,0.6,1.82,1.3
WSW,1.01,1.05,1.0,1.02,1.17,1.21,1.17,0.98,1.0,1.08,1.0,1.1,1.12,1.01,0.98,0.83,1.87,1.12,1.87,1.13,1.72,1.57,1.64,1.73,1.62,1.73,1.96,0.47,1.84,1.55
NNW,1.23,1.22,1.19,1.12,1.03,1.08,1.08,1.03,1.13,1.01,0.9,1.0,1.02,1.02,0.95,0.78,1.85,2.1,1.83,1.89,1.71,1.64,1.82,1.63,1.85,1.64,1.98,,1.86,1.41
S,1.29,1.25,1.3,1.17,1.09,1.14,1.03,1.22,1.07,1.15,1.0,1.01,1.0,0.97,1.02,0.83,1.93,1.31,1.93,1.33,1.78,1.71,1.71,1.79,1.72,1.72,2.02,,1.91,1.51
SSE,1.3,1.26,1.32,1.23,1.11,1.07,1.06,1.23,1.05,1.16,1.01,1.03,1.05,1.0,0.94,0.85,1.98,1.32,1.98,1.39,1.82,1.72,1.77,1.82,1.76,1.76,2.06,0.38,1.95,1.55
WNW,1.33,1.3,1.26,1.29,1.06,1.17,1.11,1.12,1.18,1.09,1.07,1.03,1.07,1.09,1.0,1.02,1.94,2.11,1.93,1.82,1.8,1.75,1.86,1.72,1.91,1.74,2.08,,2.0,1.46
W,1.21,1.21,1.19,1.22,1.36,1.32,1.25,1.07,1.12,1.2,1.22,1.24,1.23,1.17,1.07,1.0,2.11,1.39,2.1,1.42,1.93,1.83,1.91,1.92,1.88,1.87,2.23,,2.12,1.74
PM2.5_0,0.64,0.62,0.63,0.58,0.57,0.61,0.54,0.55,0.53,0.56,0.53,0.55,0.51,0.5,0.53,0.47,1.0,0.73,1.0,0.74,0.92,0.88,0.91,0.9,0.91,0.9,1.05,0.26,1.0,0.77
PM2.5_1,0.9,0.9,0.87,0.85,0.87,0.58,0.83,0.73,0.82,0.64,0.82,0.56,0.8,0.76,0.51,0.66,1.38,1.0,1.35,1.03,1.25,1.23,1.23,1.23,1.24,1.21,1.45,0.14,1.38,0.87
PM10_0,0.64,0.63,0.63,0.59,0.57,0.61,0.53,0.56,0.53,0.57,0.52,0.56,0.51,0.5,0.53,0.47,1.0,0.74,1.0,0.75,0.92,0.89,0.92,0.9,0.92,0.9,1.06,0.26,1.0,0.77
PM10_1,0.87,0.87,0.84,0.82,0.88,0.6,0.84,0.71,0.79,0.63,0.85,0.57,0.79,0.75,0.54,0.67,1.36,0.96,1.34,1.0,1.23,1.2,1.21,1.2,1.21,1.2,1.42,,1.35,0.9
TEMP_1,0.71,0.7,0.7,0.65,0.63,0.64,0.6,0.61,0.6,0.6,0.58,0.59,0.57,0.55,0.56,0.52,1.09,0.8,1.08,0.81,1.0,0.97,0.99,0.98,0.99,0.97,1.15,0.26,1.09,0.82
TEMP_0,0.71,0.7,0.7,0.67,0.66,0.65,0.62,0.6,0.61,0.61,0.61,0.6,0.59,0.58,0.56,0.53,1.13,0.81,1.12,0.84,1.03,1.0,1.02,1.01,1.02,1.01,1.19,,1.12,0.85
PRES_0,0.7,0.7,0.69,0.65,0.66,0.62,0.62,0.59,0.61,0.58,0.61,0.57,0.59,0.57,0.54,0.52,1.1,0.8,1.09,0.81,1.01,0.97,1.0,0.98,1.0,0.99,1.16,0.27,1.1,0.82
PRES_1,0.72,0.7,0.71,0.66,0.62,0.67,0.59,0.62,0.6,0.62,0.58,0.61,0.56,0.56,0.58,0.52,1.12,0.81,1.11,0.84,1.02,0.99,1.02,1.0,1.02,1.0,1.18,0.28,1.11,0.85
DEWP_1,0.71,0.7,0.69,0.66,0.65,0.61,0.62,0.59,0.61,0.59,0.61,0.56,0.58,0.57,0.54,0.52,1.1,0.79,1.09,0.82,1.01,0.98,1.0,0.98,1.0,0.99,1.16,0.26,1.1,0.82
DEWP_0,0.71,0.7,0.7,0.65,0.63,0.67,0.6,0.63,0.6,0.62,0.58,0.61,0.58,0.56,0.58,0.53,1.12,0.82,1.11,0.83,1.02,0.99,1.01,1.0,1.01,1.0,1.18,,1.11,0.85
RAIN_0,0.61,0.6,0.6,0.56,0.55,0.55,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.48,0.48,0.45,0.95,0.69,0.94,0.71,0.87,0.84,0.86,0.85,0.86,0.85,1.0,0.23,0.95,0.71
RAIN_1,2.66,2.57,2.25,2.5,,,,1.68,2.48,,,,,,,,4.1,,4.12,,3.84,,3.77,,3.76,,4.37,1.0,4.09,3.64
WSPM_0,0.64,0.63,0.63,0.59,0.59,0.58,0.55,0.54,0.55,0.54,0.55,0.53,0.52,0.51,0.5,0.47,1.0,0.69,1.0,0.72,0.92,0.89,0.9,0.9,0.9,0.9,1.06,0.24,1.0,0.75
WSPM_1,0.9,0.88,0.88,0.81,0.75,0.79,0.74,0.77,0.73,0.76,0.68,0.72,0.7,0.7,0.71,0.62,1.33,1.36,1.32,1.15,1.23,1.18,1.25,1.18,1.27,1.19,1.4,0.32,1.33,1.0
