,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.62,1.0,0.35,0.95,0.79,0.95,0.77
TEMP_1,,,,,,,,,,
PRES_1,1.02,,0.99,0.91,1.02,0.39,0.97,0.8,0.96,0.8
PRES_0,2.05,,2.91,0.77,2.06,,1.9,1.74,2.11,1.37
DEWP_0,1.0,,0.99,0.62,1.0,,0.95,0.79,0.95,0.77
DEWP_1,4.83,,4.85,,,0.57,4.46,,,3.35
WSPM_0,1.09,,1.07,0.66,1.08,0.37,0.98,1.07,1.05,0.79
WSPM_1,1.44,,1.41,0.96,1.43,,1.7,0.91,1.3,1.59
PM10_0,1.08,,1.06,0.71,1.08,,1.04,0.82,0.98,1.23
PM10_1,1.48,,1.48,0.8,1.48,0.36,1.34,1.39,2.08,0.87
