,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,1.3,1.16,0.87,1.01,1.18,1.12,0.73,1.1,0.87
TEMP_0,1.4,0.93,1.06,1.2,1.25,0.91,1.17,0.76,1.15,0.88
PRES_1,1.04,0.9,0.96,1.21,1.07,0.87,1.07,0.68,1.04,0.83
PRES_0,1.08,1.35,1.6,0.89,1.13,1.44,1.27,0.84,1.25,0.94
DEWP_1,0.94,1.08,1.09,0.85,0.95,1.35,1.08,0.72,1.07,0.8
DEWP_0,1.34,0.99,1.12,1.31,1.73,0.9,1.25,0.76,1.2,1.0
WSPM_0,0.91,0.89,0.96,0.83,0.93,0.89,0.98,0.69,0.98,0.73
WSPM_1,1.48,1.43,1.51,1.45,1.83,1.23,1.7,0.85,1.51,2.24
PM10_0,0.93,0.93,0.99,0.87,0.99,0.88,1.03,0.66,0.97,0.93
PM10_1,1.36,1.21,1.34,1.16,1.3,1.27,1.39,0.86,1.62,0.87
