,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.83,0.82,0.84,0.77,0.85,0.88,0.75,0.69,0.73,0.72,0.87,0.81,0.69,0.69,0.79,0.79,1.72,1.12,1.7,1.19,1.59,1.53,1.59,1.51,1.58,1.56,1.81,0.4,1.65,1.12
E,0.86,0.83,0.89,0.76,0.85,0.91,0.79,0.72,0.74,0.77,0.84,0.81,0.72,0.67,0.74,0.74,1.77,1.11,1.75,1.16,1.59,1.6,1.57,1.6,1.58,1.66,1.85,0.32,1.69,1.18
NE,0.86,0.86,0.83,0.81,0.92,0.92,0.83,0.7,0.76,0.71,0.94,0.78,0.71,0.7,0.78,0.82,1.75,1.23,1.72,1.29,1.64,1.53,1.69,1.52,1.66,1.57,1.86,0.45,1.69,1.12
ESE,0.97,0.9,0.97,0.82,0.93,0.93,0.82,0.87,0.78,0.9,0.92,0.91,0.77,0.7,0.83,0.74,1.9,1.2,1.87,1.25,1.71,1.72,1.69,1.73,1.68,1.8,2.0,0.31,1.81,1.3
SW,1.13,1.06,1.03,0.99,0.8,1.1,0.83,0.97,0.86,1.06,0.73,1.06,0.82,0.84,0.95,0.63,1.9,1.29,1.9,1.17,1.77,1.76,1.7,1.92,1.7,1.86,2.04,0.4,1.87,1.34
NW,1.15,1.2,1.03,1.32,1.07,0.79,1.25,0.84,1.14,0.77,0.9,0.7,1.05,1.13,0.68,0.73,1.86,2.81,1.84,2.05,1.87,1.64,2.02,1.64,2.2,1.62,2.05,0.65,1.94,1.19
SSW,1.23,1.12,1.24,1.04,0.87,1.25,0.8,1.16,0.88,1.17,0.8,1.09,0.77,0.8,1.06,0.71,2.04,1.4,2.02,1.35,1.85,1.98,1.79,2.16,1.79,2.04,2.18,,1.99,1.44
NNE,1.05,1.04,1.01,0.97,1.03,1.02,0.9,0.81,0.85,0.81,0.99,0.89,0.78,0.77,0.87,0.86,2.01,1.62,1.99,1.65,1.88,1.91,1.93,1.85,1.94,1.86,2.19,0.7,1.98,1.26
SE,1.12,1.0,1.09,0.9,1.03,1.12,0.91,1.07,0.81,1.1,0.97,0.98,0.82,0.78,0.87,0.82,2.09,1.3,2.08,1.34,1.91,1.91,1.85,1.98,1.83,1.97,2.2,0.35,2.01,1.58
N,1.1,1.08,1.08,1.0,1.08,0.96,0.95,0.85,0.95,0.8,0.94,0.82,0.95,0.9,0.79,0.73,2.02,1.83,2.0,1.78,1.96,1.83,2.02,1.8,2.05,1.83,2.21,,2.02,1.29
WSW,0.96,1.0,0.93,0.96,1.0,1.23,1.06,0.9,0.97,1.0,0.79,1.07,1.03,0.99,0.88,0.66,2.09,1.35,2.09,1.28,1.96,1.82,1.89,2.03,1.86,2.02,2.24,0.53,2.04,1.6
