,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,3.01,2.15,1.82,1.46,0.77,0.68,0.92,1.33,1.09,1.06,0.81,0.86,0.95,1.05,0.72,0.85,0.6,1.31,0.64,1.29,0.84,1.05,0.83,1.14,0.95,0.95,1.32,1.14,10.4,0.62
E,2.17,2.37,1.31,1.88,0.85,0.59,0.98,1.06,1.43,0.81,0.82,0.69,1.11,1.22,0.65,0.83,0.58,1.29,0.59,1.25,1.06,0.84,1.01,0.89,1.13,0.8,,1.19,,0.61
NE,1.26,0.91,2.58,0.78,0.82,1.04,0.67,1.37,0.89,1.04,0.73,0.91,0.69,0.73,0.86,0.84,0.81,1.09,0.93,1.03,0.67,1.28,0.67,1.47,0.78,1.18,1.21,1.01,4.77,0.65
ESE,1.73,2.89,0.92,2.5,0.98,0.51,1.11,0.92,1.91,0.74,0.85,0.56,1.43,1.53,0.62,0.79,0.73,1.35,0.66,1.35,1.35,0.78,1.25,0.8,1.44,0.71,,1.31,,0.73
SW,0.66,0.7,0.77,0.77,3.66,0.84,2.17,0.55,1.04,0.68,2.06,0.67,1.37,1.2,0.92,1.3,2.02,0.75,1.75,0.78,1.46,0.9,1.21,0.83,1.18,0.95,,0.48,,1.81
NW,0.37,0.35,0.57,0.4,0.51,6.62,0.43,0.83,0.4,1.33,0.66,3.01,0.39,0.38,3.35,1.08,2.62,0.82,1.53,0.86,0.49,2.09,0.68,1.75,0.48,2.69,0.28,0.85,0.15,3.05
SSW,0.74,1.1,0.62,1.21,2.78,0.56,3.51,0.66,1.29,0.6,1.62,0.58,2.45,1.98,0.65,1.08,2.28,0.92,1.84,0.91,2.15,0.63,1.78,0.57,1.73,0.66,,0.37,,1.6
NNE,1.76,1.03,1.95,0.98,0.65,1.09,0.68,2.24,0.75,1.73,0.82,1.43,0.71,0.75,0.92,0.93,0.99,0.92,1.15,0.9,0.99,0.93,1.06,1.0,1.11,0.85,,1.51,2.07,0.83
SE,1.08,1.74,0.88,1.81,1.17,0.54,1.36,0.77,2.57,0.68,0.87,0.48,1.85,2.15,0.51,0.74,0.75,1.23,0.85,1.29,1.48,0.83,1.26,0.83,1.36,0.73,,0.91,,0.89
N,1.11,0.79,1.38,0.68,0.56,1.56,0.56,1.8,0.62,2.55,0.75,2.32,0.6,0.6,1.49,0.85,0.96,0.97,1.02,0.9,0.81,1.19,0.87,1.16,0.82,1.2,0.21,1.21,0.5,1.1
WSW,0.64,0.74,0.67,0.78,2.65,1.17,1.42,0.77,0.75,1.04,3.57,1.11,1.0,0.86,1.33,2.14,4.26,0.52,3.06,0.59,1.21,0.93,1.02,0.92,0.98,1.06,,0.8,,1.57
NNW,0.61,0.49,0.85,0.46,0.46,3.29,0.52,1.28,0.47,2.27,0.6,4.53,0.48,0.43,2.13,0.89,1.75,0.86,1.73,0.89,0.58,1.61,0.71,1.57,0.57,2.07,0.16,1.12,0.27,2.5
S,1.06,1.48,0.72,1.59,1.99,0.53,2.56,0.71,1.95,0.62,1.29,0.52,2.86,2.38,0.59,0.85,1.13,1.04,1.16,1.07,1.9,0.63,1.7,0.63,1.75,0.6,,1.0,,1.15
SSE,1.08,1.8,0.78,2.32,1.39,0.43,1.99,0.75,2.27,0.64,1.16,0.44,2.66,2.76,0.51,0.83,0.97,1.3,1.03,1.34,2.0,0.66,1.78,0.64,1.73,0.62,,0.98,,1.07
WNW,0.42,0.44,0.54,0.52,0.6,5.09,0.56,0.99,0.43,1.57,0.99,2.51,0.5,0.44,4.58,1.85,1.82,0.72,1.53,0.76,0.76,1.47,0.95,1.27,0.66,1.97,,0.93,0.2,2.14
W,0.63,0.65,0.73,0.78,1.52,1.76,0.95,0.9,0.7,1.17,2.41,1.4,0.76,0.66,2.01,2.36,2.56,0.53,2.65,0.57,1.0,1.15,1.04,0.97,0.88,1.16,0.67,0.83,5.3,1.44
PM2.5_0,0.87,0.84,0.92,0.84,0.99,1.27,0.95,1.02,0.84,1.14,1.09,1.23,0.9,0.88,1.23,1.15,15.35,0.59,8.14,0.68,1.13,0.88,1.08,0.91,1.06,0.98,0.79,1.11,0.8,1.68
PM2.5_1,2.1,2.96,1.53,2.46,0.99,0.32,1.22,0.92,2.12,0.63,0.7,0.4,1.46,1.63,0.38,0.52,0.18,31.81,0.2,16.0,0.59,1.94,0.7,1.63,0.72,1.17,,0.35,,0.25
PM10_0,0.87,0.84,0.91,0.84,0.95,1.24,0.93,1.04,0.84,1.16,1.04,1.23,0.9,0.86,1.21,1.11,7.32,0.62,13.15,0.63,1.1,0.84,1.05,0.89,1.09,0.92,0.77,1.17,0.77,1.58
PM10_1,1.82,2.39,1.53,2.07,1.15,0.42,1.28,0.86,1.92,0.61,0.89,0.45,1.41,1.62,0.46,0.66,0.22,7.25,0.21,20.96,0.7,2.24,0.8,1.65,0.71,1.48,,0.2,,0.32
TEMP_1,1.12,1.17,0.85,1.27,1.27,0.81,1.43,0.99,1.23,0.92,1.2,0.83,1.39,1.36,0.92,1.12,1.68,0.83,1.64,0.88,293.59,0.22,7.12,0.25,10.22,0.24,,1.82,5.63,1.29
TEMP_0,0.89,0.85,1.22,0.78,0.77,1.28,0.67,1.01,0.79,1.1,0.81,1.23,0.68,0.7,1.1,0.88,0.67,1.23,0.68,1.16,0.17,171.29,0.23,12.87,0.16,12.61,0.46,0.09,0.51,0.77
PRES_0,1.04,1.19,0.78,1.24,1.36,0.79,1.56,0.94,1.3,0.86,1.28,0.79,1.49,1.41,0.91,1.15,1.67,0.91,1.46,0.95,9.29,0.26,105.72,0.17,6.02,0.3,,1.85,8.88,1.32
PRES_1,0.96,0.85,1.35,0.81,0.73,1.29,0.63,1.07,0.76,1.18,0.77,1.28,0.65,0.69,1.11,0.86,0.69,1.11,0.74,1.06,0.27,9.04,0.17,122.44,0.25,5.27,0.48,0.13,0.51,0.78
DEWP_1,1.29,1.45,0.92,1.48,1.26,0.65,1.44,0.99,1.42,0.88,1.14,0.7,1.51,1.47,0.75,1.0,1.24,0.91,1.29,0.88,19.1,0.22,5.43,0.27,215.19,0.15,,1.93,,0.96
DEWP_0,0.79,0.72,1.09,0.7,0.79,1.56,0.68,1.01,0.7,1.14,0.87,1.45,0.64,0.66,1.34,1.0,0.83,1.11,0.8,1.14,0.23,18.54,0.29,6.91,0.13,132.57,0.48,0.05,0.48,1.04
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0
RAIN_1,1.74,4.19,0.63,0.74,0.45,0.36,0.66,1.94,0.61,0.5,0.31,0.6,0.68,0.94,0.81,0.51,,1.14,,0.85,,,9.55,,,,,21.68,,1.4
WSPM_0,1.27,1.31,1.17,1.21,1.05,0.81,1.05,1.07,1.16,0.96,1.01,0.85,1.1,1.11,0.84,0.98,0.82,1.06,0.85,1.02,1.06,0.91,1.0,0.97,1.11,0.84,1.87,1.08,6.13,0.76
WSPM_1,0.51,0.49,0.62,0.55,0.85,2.1,0.85,0.8,0.6,1.16,0.96,1.74,0.72,0.68,1.8,1.08,4.11,0.82,2.48,0.92,0.83,1.44,1.01,1.13,0.7,1.97,0.38,0.73,0.25,6.96
