,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,1.0,0.66,1.0,0.41,1.02,0.95,0.96,0.93,0.74
TEMP_1,,,,,,,,,,,
PRES_1,1.01,0.33,1.02,0.42,1.01,0.38,1.02,0.97,0.98,0.91,0.72
PRES_0,1.22,,0.84,2.45,1.23,,1.3,0.92,0.88,1.46,1.17
DEWP_0,1.0,0.31,1.0,0.66,1.0,0.34,1.02,0.95,0.96,0.93,0.74
DEWP_1,1.55,,1.2,,1.42,6.38,1.73,,,1.77,
WSPM_0,1.02,0.36,1.02,0.69,1.02,0.4,1.1,0.76,0.93,1.01,0.8
WSPM_1,1.11,,1.11,0.71,1.11,,0.93,1.51,1.21,0.81,0.69
PM10_0,1.04,0.37,1.05,0.53,1.04,,1.01,1.19,1.19,0.67,0.37
PM10_1,1.1,,1.08,0.9,1.1,0.43,1.19,0.68,0.78,1.46,0.74
PM10_2,1.18,,1.14,1.05,1.18,0.84,1.27,0.55,0.29,1.08,2.04
