,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.8,0.79,0.79,0.72,0.76,0.77,0.71,0.64,0.67,0.66,0.7,0.7,0.64,0.63,0.64,0.6,1.69,1.06,1.67,1.11,1.59,1.51,1.58,1.49,1.58,1.56,1.81,0.3,1.65,1.11
E,0.82,0.79,0.82,0.72,0.78,0.78,0.72,0.67,0.67,0.67,0.74,0.69,0.66,0.62,0.65,0.61,1.73,1.06,1.72,1.1,1.59,1.57,1.54,1.58,1.56,1.64,1.85,0.27,1.69,1.11
NE,0.83,0.82,0.8,0.76,0.78,0.82,0.73,0.67,0.67,0.67,0.73,0.72,0.64,0.64,0.69,0.62,1.73,1.13,1.71,1.17,1.64,1.51,1.67,1.52,1.65,1.55,1.86,0.34,1.69,1.12
ESE,0.9,0.86,0.89,0.78,0.86,0.81,0.77,0.75,0.71,0.75,0.81,0.72,0.71,0.66,0.71,0.65,1.87,1.15,1.84,1.2,1.7,1.69,1.66,1.72,1.66,1.75,2.0,0.3,1.82,1.18
SW,0.98,0.91,0.94,0.84,0.78,0.93,0.73,0.79,0.74,0.83,0.71,0.88,0.68,0.68,0.78,0.62,1.88,1.15,1.87,1.12,1.7,1.77,1.64,1.87,1.68,1.79,2.04,0.35,1.86,1.21
NW,0.96,0.96,0.89,0.98,0.85,0.77,0.91,0.75,0.9,0.71,0.72,0.67,0.85,0.87,0.64,0.6,1.87,2.53,1.84,1.89,1.89,1.58,2.02,1.63,2.19,1.61,2.05,0.62,1.87,1.16
SSW,1.02,0.98,1.03,0.89,0.84,1.02,0.76,0.87,0.77,0.86,0.79,0.86,0.71,0.7,0.85,0.69,2.01,1.23,1.99,1.25,1.8,1.93,1.74,2.06,1.77,2.01,2.18,0.23,1.98,1.27
NNE,0.98,0.95,0.95,0.88,0.9,0.93,0.84,0.77,0.8,0.77,0.81,0.8,0.76,0.76,0.76,0.68,2.01,1.5,2.0,1.48,1.88,1.85,1.93,1.85,1.9,1.87,2.19,0.46,1.99,1.28
SE,1.01,0.96,0.99,0.85,0.93,0.96,0.83,0.86,0.76,0.88,0.9,0.84,0.76,0.72,0.81,0.73,2.04,1.25,2.02,1.3,1.87,1.87,1.81,1.93,1.79,1.93,2.2,0.33,2.0,1.32
N,1.02,0.98,0.98,0.91,0.88,0.9,0.85,0.79,0.87,0.76,0.77,0.78,0.82,0.82,0.73,0.63,2.01,1.66,2.0,1.57,1.95,1.79,2.03,1.79,2.02,1.81,2.21,0.57,2.01,1.28
WSW,0.98,0.96,0.96,0.9,0.89,1.03,0.79,0.83,0.81,0.9,0.76,0.94,0.74,0.72,0.79,0.65,2.06,1.26,2.05,1.24,1.88,1.87,1.8,1.99,1.84,1.92,2.24,0.44,2.04,1.32
NNW,1.06,1.04,1.01,1.02,0.91,0.86,0.99,0.81,1.02,0.78,0.74,0.75,0.92,0.95,0.71,0.62,2.06,2.31,2.04,1.93,2.07,1.76,2.22,1.79,2.29,1.77,2.27,0.69,2.07,1.3
S,1.09,1.03,1.09,0.92,0.92,1.14,0.82,0.92,0.82,0.9,0.91,0.94,0.75,0.73,0.93,0.74,2.16,1.29,2.14,1.33,1.94,2.02,1.89,2.11,1.88,2.08,2.32,0.36,2.11,1.37
SSE,1.09,1.06,1.12,0.96,0.96,1.06,0.86,0.96,0.82,0.93,0.95,0.91,0.79,0.75,0.92,0.78,2.22,1.37,2.19,1.39,1.99,2.06,1.95,2.16,1.95,2.15,2.38,0.39,2.17,1.42
WNW,1.13,1.1,1.07,1.12,0.95,0.93,0.96,0.91,1.02,0.9,0.86,0.82,0.98,0.96,0.74,0.73,2.19,2.45,2.16,1.99,2.12,1.91,2.16,1.94,2.35,1.91,2.41,0.56,2.22,1.37
W,1.19,1.11,1.12,1.06,1.07,1.18,0.92,0.96,0.95,0.97,0.92,1.01,0.91,0.86,0.87,0.75,2.39,1.64,2.38,1.58,2.2,2.15,2.2,2.25,2.25,2.14,2.62,0.58,2.39,1.56
PM2.5_0,0.48,0.47,0.47,0.43,0.43,0.47,0.39,0.39,0.39,0.4,0.38,0.41,0.37,0.36,0.39,0.33,0.97,0.71,0.97,0.7,0.91,0.89,0.92,0.91,0.92,0.91,1.07,0.2,0.97,0.64
PM2.5_1,0.71,0.7,0.7,0.64,0.7,0.52,0.66,0.56,0.61,0.51,0.69,0.48,0.6,0.57,0.44,0.51,1.51,0.84,1.48,0.88,1.38,1.26,1.33,1.28,1.35,1.28,1.56,0.19,1.42,0.86
PM10_0,0.49,0.47,0.47,0.44,0.43,0.47,0.4,0.4,0.39,0.41,0.38,0.41,0.37,0.36,0.39,0.33,0.98,0.72,0.97,0.7,0.92,0.9,0.92,0.92,0.93,0.92,1.07,0.2,0.98,0.64
PM10_1,0.7,0.68,0.68,0.62,0.69,0.53,0.64,0.55,0.58,0.5,0.68,0.48,0.59,0.55,0.44,0.51,1.46,0.82,1.44,0.85,1.33,1.22,1.28,1.24,1.32,1.25,1.52,0.17,1.38,0.84
TEMP_1,0.54,0.52,0.53,0.48,0.48,0.52,0.44,0.44,0.43,0.44,0.44,0.45,0.4,0.39,0.42,0.37,1.09,0.77,1.08,0.76,0.93,1.18,0.94,1.17,0.93,1.18,1.18,0.18,1.08,0.69
TEMP_0,0.56,0.54,0.54,0.51,0.51,0.51,0.48,0.45,0.46,0.45,0.47,0.45,0.45,0.44,0.42,0.38,1.15,0.75,1.13,0.76,1.29,0.92,1.22,0.95,1.32,0.95,1.23,,1.12,0.74
PRES_0,0.54,0.52,0.53,0.48,0.5,0.5,0.45,0.43,0.44,0.43,0.45,0.44,0.42,0.4,0.41,0.37,1.1,0.75,1.09,0.75,0.95,1.18,0.93,1.27,0.95,1.18,1.19,0.19,1.09,0.69
PRES_1,0.56,0.54,0.54,0.5,0.49,0.52,0.46,0.46,0.45,0.46,0.45,0.46,0.43,0.42,0.44,0.38,1.13,0.76,1.12,0.77,1.21,0.92,1.28,0.92,1.24,0.95,1.22,0.28,1.11,0.74
DEWP_1,0.54,0.52,0.53,0.48,0.49,0.5,0.45,0.43,0.44,0.44,0.45,0.44,0.41,0.4,0.42,0.37,1.1,0.75,1.09,0.76,0.95,1.21,0.95,1.18,0.93,1.3,1.19,0.18,1.09,0.7
DEWP_0,0.56,0.54,0.53,0.5,0.5,0.52,0.47,0.46,0.45,0.45,0.45,0.45,0.44,0.42,0.43,0.38,1.13,0.77,1.12,0.75,1.22,0.91,1.18,0.94,1.37,0.92,1.22,,1.11,0.73
RAIN_0,0.45,0.44,0.44,0.41,0.41,0.43,0.38,0.37,0.37,0.37,0.37,0.37,0.35,0.34,0.35,0.31,0.92,0.63,0.92,0.63,0.86,0.83,0.86,0.85,0.86,0.85,1.0,0.18,0.91,0.59
RAIN_1,2.58,2.97,2.34,2.35,2.6,2.03,3.26,2.01,2.16,1.59,1.78,1.48,2.46,2.19,2.04,1.69,5.42,5.79,5.38,,4.69,,4.51,,4.56,,5.86,0.6,5.33,3.82
WSPM_0,0.48,0.46,0.47,0.43,0.44,0.46,0.4,0.39,0.39,0.39,0.4,0.41,0.37,0.36,0.38,0.34,0.99,0.63,0.98,0.64,0.91,0.9,0.9,0.91,0.91,0.93,1.07,0.18,0.97,0.64
WSPM_1,0.71,0.69,0.68,0.66,0.61,0.61,0.6,0.56,0.6,0.56,0.54,0.53,0.56,0.57,0.51,0.46,1.37,1.34,1.36,1.15,1.33,1.2,1.37,1.24,1.42,1.21,1.5,0.33,1.37,0.85
