,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,0.92,1.02,0.88,0.99,0.94,1.02,0.9,0.95,0.93,0.67
TEMP_0,1.06,1.0,1.09,0.98,1.06,0.98,1.1,0.96,1.05,1.02,0.75
PRES_0,0.98,0.91,1.0,0.89,0.98,0.92,1.01,0.88,0.93,0.91,0.64
PRES_1,1.09,1.02,1.1,1.0,1.09,1.03,1.13,0.99,1.08,1.05,0.83
DEWP_0,1.0,0.93,1.02,0.91,1.0,0.92,1.03,0.9,0.98,0.94,0.72
DEWP_1,1.07,0.99,1.09,0.96,1.06,1.0,1.09,0.95,1.0,0.99,0.67
WSPM_0,0.97,0.9,0.98,0.9,0.97,0.9,1.0,0.88,0.94,0.9,0.62
WSPM_1,1.13,1.03,1.16,0.96,1.1,1.1,1.14,1.0,1.06,1.07,0.9
PM10_0,1.05,0.95,1.07,0.93,1.02,1.0,1.06,0.94,1.0,0.97,0.95
PM10_1,1.06,1.0,1.06,0.97,1.07,0.97,1.1,0.96,1.06,1.0,0.61
PM10_2,1.48,1.37,1.57,1.34,1.5,1.42,1.5,1.27,1.08,1.38,1.0
