,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.92,1.25,1.12,0.88,0.99,1.17,1.08,0.75,1.07,0.88
TEMP_0,1.33,0.91,1.03,1.17,1.21,0.91,1.12,0.77,1.1,0.88
PRES_1,1.03,0.9,0.95,1.2,1.06,0.88,1.04,0.71,1.02,0.85
PRES_0,1.03,1.29,1.48,0.87,1.07,1.39,1.19,0.83,1.17,0.92
DEWP_1,0.93,1.07,1.07,0.86,0.94,1.32,1.05,0.74,1.04,0.82
DEWP_0,1.27,0.96,1.07,1.28,1.61,0.88,1.17,0.77,1.13,0.99
WSPM_0,0.92,0.9,0.96,0.85,0.94,0.91,0.98,0.72,0.98,0.76
WSPM_1,1.34,1.29,1.36,1.35,1.64,1.13,1.49,0.81,1.35,2.13
PM10_0,0.94,0.94,0.98,0.89,0.99,0.9,1.02,0.69,0.97,0.95
PM10_1,1.26,1.14,1.24,1.1,1.2,1.19,1.28,0.82,1.47,0.84
