,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.01,2.72,1.96,0.94,1.23,3.34,1.61,0.47,1.25,0.9,1.08
TEMP_0,2.75,1.01,1.47,2.88,2.98,1.04,1.85,0.56,1.56,1.05,0.68
PRES_1,1.34,0.87,1.01,2.31,1.59,0.91,1.31,0.41,1.06,0.76,0.63
PRES_0,1.65,4.78,5.04,1.02,1.92,6.49,2.5,0.68,1.99,1.34,1.27
DEWP_1,0.94,1.79,1.6,0.84,1.01,3.65,1.38,0.44,1.17,0.73,0.66
DEWP_0,3.44,1.26,1.77,4.54,6.53,1.02,2.29,0.61,1.71,1.45,1.16
WSPM_0,0.84,0.9,1.0,0.79,0.97,1.03,1.0,0.33,0.84,0.53,0.43
WSPM_1,5.93,4.15,5.27,6.41,8.91,3.43,6.13,1.13,3.91,5.79,18.83
PM10_0,1.33,1.32,1.49,1.43,1.71,1.22,1.54,0.38,1.01,1.13,5.22
PM10_1,2.06,2.3,2.55,1.74,2.22,3.19,2.52,0.97,2.61,1.04,0.8
PM10_2,9.8,6.57,9.01,7.86,10.27,8.78,9.67,4.34,17.97,5.02,1.06
