,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,22.8,0.39,3.05,0.46,0.55,2.53,1.24,1.12,1.11,1.05
TEMP_0,0.24,14.89,0.36,3.02,4.07,0.26,0.77,0.86,0.87,0.93
PRES_0,3.46,0.55,36.66,0.24,0.6,2.19,1.3,1.03,0.89,1.12
PRES_1,0.28,5.19,0.13,51.5,4.63,0.22,0.69,0.94,1.29,0.81
DEWP_0,0.49,3.02,0.49,2.23,26.02,0.22,0.67,1.12,1.11,0.94
DEWP_1,7.11,0.32,6.0,0.3,0.2,53.35,2.55,0.88,0.89,1.08
WSPM_0,0.96,1.0,1.04,1.0,0.87,1.06,3.23,0.71,0.81,1.05
WSPM_1,1.08,0.99,0.93,1.0,1.33,0.89,0.41,2.91,1.71,0.91
PM10_0,0.95,0.96,0.88,1.06,1.06,0.94,0.82,1.4,9.43,0.55
PM10_1,1.17,1.13,1.53,0.85,0.88,1.17,2.33,0.5,0.21,13.9
