,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.18,1.0,0.26,0.96,0.62,0.9,0.73,0.31
PRES_0,1.0,1.0,0.18,1.0,0.26,0.96,0.62,0.91,0.73,0.31
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.18,1.0,0.25,0.96,0.62,0.91,0.73,0.31
DEWP_0,4.18,4.18,,4.22,1.09,3.96,2.35,3.79,3.22,
WSPM_0,1.04,1.04,0.21,1.04,0.25,1.0,0.64,0.94,0.75,0.32
WSPM_1,1.63,1.63,,1.63,0.47,1.57,1.0,1.45,1.31,0.48
PM10_0,1.1,1.1,0.2,1.1,0.31,1.06,0.7,1.0,0.81,0.39
PM10_1,1.36,1.36,,1.36,,1.31,0.77,1.24,1.0,0.39
PM10_2,3.26,3.26,,3.26,,3.14,1.8,2.72,2.55,1.0
