,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.92,0.98,0.91,0.85,0.86,0.87,0.82,0.85,0.87,0.89,0.85,0.81,0.77,0.81,1.39,0.91,1.4,0.96,1.43,1.43,,1.43,,1.43,0.55,1.39,0.97
ENE,1.0,1.0,0.91,0.96,0.91,0.88,0.81,0.82,0.83,0.86,0.94,0.85,0.85,0.83,0.86,0.99,1.4,0.94,1.41,0.95,1.45,1.45,,1.45,,1.45,0.67,1.41,0.95
ESE,1.06,1.07,1.0,0.98,0.9,0.91,1.0,0.96,0.93,0.87,0.82,0.95,0.81,0.76,0.82,0.77,1.47,0.98,1.47,0.96,1.5,1.5,,1.5,,1.5,0.47,1.46,1.08
NE,0.99,1.01,0.94,1.0,1.02,1.02,0.92,0.88,0.88,0.82,1.04,0.88,0.9,0.85,0.93,1.09,1.48,1.07,1.49,1.12,1.53,1.53,,1.53,,1.53,0.58,1.49,0.99
SSW,1.16,1.09,1.12,1.03,1.0,1.0,1.13,1.02,0.98,1.02,0.85,0.95,0.86,0.81,0.76,0.66,1.53,1.13,1.54,1.03,1.56,1.56,,1.56,,1.56,,1.52,1.21
SW,1.21,1.2,1.12,1.03,1.02,1.0,0.94,1.03,1.04,1.06,0.92,0.86,0.87,0.71,0.9,0.71,1.52,1.1,1.53,0.94,1.57,1.57,,1.57,,1.57,,1.53,1.21
NNE,1.07,1.12,1.02,1.07,0.92,1.1,1.0,0.84,0.78,0.79,1.13,1.0,0.92,0.97,0.84,0.99,1.56,1.21,1.57,1.17,1.61,1.61,,1.61,,1.61,0.88,1.57,1.0
SE,1.16,1.15,1.07,1.09,0.95,0.98,1.24,1.0,0.97,0.98,0.9,1.07,0.97,0.89,0.69,0.79,1.61,1.09,1.59,1.02,1.62,1.62,,1.62,,1.62,0.53,1.58,1.28
S,1.25,1.23,1.16,1.15,1.0,0.99,1.33,1.07,1.0,0.96,0.89,1.04,0.94,0.93,0.75,0.7,1.58,1.1,1.59,1.05,1.62,1.62,,1.62,,1.62,,1.58,1.23
SSE,1.15,1.18,1.2,1.14,1.04,1.02,1.25,1.02,1.03,1.0,0.8,1.04,0.94,0.98,0.94,0.79,1.61,1.06,1.63,1.05,1.65,1.65,,1.65,,1.65,0.71,1.61,1.24
WSW,1.11,1.03,1.18,0.94,1.19,1.07,0.89,1.15,1.21,1.17,1.0,0.9,0.96,0.8,0.84,0.88,1.61,1.15,1.61,1.06,1.66,1.66,,1.66,,1.66,,1.61,1.39
N,1.15,1.13,1.04,1.08,1.13,1.3,1.05,0.94,1.01,0.94,1.11,1.01,0.87,0.94,0.88,0.91,1.64,1.29,1.64,1.22,1.67,1.67,,1.67,,1.67,,1.63,1.04
NW,1.09,1.1,1.21,1.08,1.14,1.13,1.04,1.0,1.09,1.15,1.09,1.03,1.0,1.0,0.95,0.88,1.68,2.17,1.7,1.6,1.75,1.75,,1.75,,1.75,,1.7,1.29
NNW,1.29,1.24,1.32,1.21,1.34,1.42,1.1,1.07,1.01,0.97,1.16,1.15,1.02,1.01,0.99,0.95,1.75,2.14,1.77,1.7,1.82,1.82,,1.83,,1.82,,1.76,1.28
WNW,1.28,1.26,1.22,1.16,1.28,1.11,1.26,1.3,1.26,1.1,1.18,1.1,1.06,0.96,1.0,1.13,1.79,1.8,1.82,1.45,1.86,1.86,,1.85,,1.86,,1.83,1.36
W,1.25,1.06,1.24,0.92,1.43,1.32,0.95,1.28,1.49,1.34,1.29,1.07,1.18,0.98,0.94,1.0,1.83,1.36,1.83,1.3,1.87,1.87,,1.87,,1.87,,1.82,1.6
PM2.5_0,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.62,0.63,0.62,0.62,0.63,0.61,0.59,0.57,0.55,1.0,0.71,1.01,0.68,1.03,1.03,0.32,1.03,0.42,1.03,0.44,1.0,0.75
PM2.5_1,1.06,1.01,1.0,0.93,0.87,0.88,0.86,1.0,0.89,0.86,0.84,0.76,0.43,0.52,0.6,0.8,1.41,1.0,1.41,0.99,1.45,1.44,,1.44,,1.44,,1.41,0.87
PM10_0,0.71,0.71,0.68,0.67,0.65,0.65,0.64,0.62,0.62,0.61,0.61,0.62,0.6,0.58,0.56,0.54,0.99,0.72,1.0,0.68,1.02,1.02,0.32,1.02,0.41,1.02,0.44,1.0,0.74
PM10_1,1.06,1.01,1.01,0.94,0.96,1.03,0.89,1.01,1.0,0.92,0.98,0.77,0.47,0.58,0.68,0.86,1.47,0.99,1.46,1.0,1.49,1.49,,1.49,,1.49,,1.45,0.95
