,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.51,0.05,0.61,1.16,1.21,0.26,0.95,0.57,0.86,0.73,0.35
TEMP_0,0.06,1.64,1.19,0.24,0.48,1.3,0.96,0.56,0.81,0.71,0.63
PRES_1,0.57,1.08,1.31,0.05,0.65,1.05,0.94,0.62,0.89,0.66,0.48
PRES_0,1.33,0.25,0.06,2.02,1.27,0.18,0.99,0.45,0.75,0.84,0.49
DEWP_1,1.16,0.44,0.66,1.07,1.38,0.03,1.04,0.28,0.72,0.88,0.51
DEWP_0,0.3,1.38,1.23,0.17,0.04,1.91,0.82,1.02,1.04,0.47,0.44
WSPM_0,0.83,0.8,0.87,0.75,0.94,0.65,1.06,0.21,0.77,0.8,0.55
WSPM_1,0.83,0.79,0.97,0.58,0.46,1.32,0.36,2.6,1.27,0.27,0.08
PM10_0,0.85,0.77,0.93,0.65,0.74,0.93,0.86,0.88,1.4,0.12,
PM10_1,0.84,0.78,0.81,0.84,1.05,0.48,1.07,0.17,0.15,1.84,0.18
PM10_2,0.6,1.04,0.86,0.75,0.91,0.68,1.1,0.05,,0.28,4.71
