,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.52,1.0,0.66,0.86,0.27,0.78,0.52,0.24
DEWP_0,11.0,10.99,,13.58,0.06,9.41,1.59,7.4,6.18,
WSPM_0,1.06,1.06,0.54,1.06,0.66,0.91,0.32,0.83,0.54,0.24
WSPM_1,2.18,2.18,,2.18,0.39,1.89,0.4,1.62,1.33,0.53
PM10_0,1.17,1.17,0.41,1.17,0.45,1.01,0.32,0.8,0.84,0.66
PM10_1,1.64,1.64,,1.63,,1.41,0.43,1.66,0.51,0.19
PM10_2,6.63,6.62,,6.6,,5.67,2.08,8.92,2.27,0.09
