,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,223.16,1.0,86.12,1.21,8.12,1.53,3.52,72.63
PRES_0,1.0,1.0,,1.0,86.15,1.21,8.12,1.53,3.52,72.66
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,223.41,1.0,65.34,1.21,8.1,1.52,3.51,73.27
DEWP_0,0.27,0.27,,0.25,220.91,0.31,2.51,0.44,0.99,
WSPM_0,0.96,0.96,238.62,0.97,65.35,1.17,7.47,1.47,3.36,72.04
WSPM_1,0.62,0.62,,0.62,96.26,0.75,6.13,0.94,2.26,35.92
PM10_0,0.91,0.91,246.42,0.91,93.37,1.1,7.71,1.48,2.7,51.58
PM10_1,0.73,0.73,,0.74,,0.89,5.25,0.99,3.33,66.85
PM10_2,0.31,0.31,,0.31,,0.37,2.33,0.31,1.46,91.48
