,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,29.71,1.0,15.04,1.08,2.62,1.22,1.86,10.64
PRES_0,1.0,1.0,29.69,1.0,15.03,1.08,2.62,1.22,1.86,10.64
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,29.64,1.0,14.94,1.08,2.62,1.21,1.85,10.64
DEWP_0,0.07,0.07,,0.07,1.02,0.07,0.18,0.08,0.14,0.68
WSPM_0,0.92,0.92,37.19,0.93,13.23,1.0,2.42,1.13,1.69,9.46
WSPM_1,0.38,0.38,,0.38,6.37,0.41,1.0,0.46,0.78,5.06
PM10_0,0.82,0.82,24.36,0.82,13.36,0.89,2.19,1.0,1.51,9.56
PM10_1,0.54,0.54,,0.54,5.72,0.58,1.34,0.65,1.0,5.3
PM10_2,0.09,0.09,,0.09,,0.1,0.23,0.11,0.18,1.0
