,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.93,1.07,1.08,0.85,1.0,1.02,1.11,0.61,1.07,0.79
TEMP_0,1.14,0.92,1.06,1.01,1.19,0.9,1.16,0.66,1.12,0.79
PRES_1,0.97,0.87,0.96,0.97,1.03,0.84,1.06,0.61,1.02,0.75
PRES_0,1.05,1.27,1.3,0.89,1.13,1.24,1.25,0.65,1.2,0.85
DEWP_1,0.91,1.0,1.03,0.82,0.95,1.06,1.07,0.58,1.03,0.73
DEWP_0,1.2,0.97,1.11,1.16,1.4,0.9,1.23,0.7,1.18,0.88
WSPM_0,0.86,0.86,0.93,0.77,0.91,0.85,0.98,0.55,0.95,0.66
WSPM_1,1.48,1.26,1.46,1.53,1.73,1.2,1.59,0.82,1.51,1.68
PM10_0,0.9,0.87,0.96,0.84,0.97,0.86,1.02,0.58,0.97,0.75
PM10_1,1.23,1.21,1.3,1.04,1.26,1.14,1.39,0.65,1.4,0.86
