,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.98,0.45,1.0,0.17,0.91,0.67,0.85,0.69,0.52
TEMP_1,,,,,,,,,,,
PRES_1,1.01,,1.02,0.18,1.01,0.16,0.92,0.68,0.87,0.67,0.51
PRES_0,1.31,,0.52,2.05,1.3,,1.26,0.72,0.75,1.21,0.9
DEWP_0,1.0,,0.98,0.45,1.0,,0.91,0.67,0.85,0.69,0.52
DEWP_1,1.79,,1.48,,,4.76,1.75,,,,
WSPM_0,1.03,,1.0,0.49,1.03,0.19,1.05,0.39,0.81,0.79,0.59
WSPM_1,1.14,,1.13,0.42,1.14,,0.59,1.31,1.17,0.47,0.35
PM10_0,1.05,,1.05,0.34,1.05,,0.87,0.87,1.14,0.31,
PM10_1,1.13,,1.08,0.66,1.13,,1.16,0.4,0.41,1.33,0.37
PM10_2,1.24,,1.18,0.76,1.24,,1.29,0.38,,0.55,1.8
