,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.44,1.0,0.45,0.92,0.45,0.85,0.66,0.33
PRES_0,1.0,1.0,,1.0,0.45,0.92,0.45,0.86,0.66,0.33
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.44,1.0,0.52,0.92,0.45,0.86,0.66,0.35
DEWP_0,4.0,3.99,,4.49,0.19,3.58,1.24,3.18,2.81,
WSPM_0,1.04,1.03,0.45,1.03,0.53,0.95,0.49,0.89,0.67,0.35
WSPM_1,1.55,1.55,,1.55,0.46,1.43,0.58,1.29,1.15,0.51
PM10_0,1.09,1.09,0.39,1.09,0.47,1.0,0.5,0.88,0.84,0.62
PM10_1,1.32,1.32,,1.32,,1.21,0.56,1.29,0.67,0.3
PM10_2,2.9,2.9,,2.89,,2.65,1.4,3.11,1.6,0.24
