,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,29.71,1.0,14.92,1.08,2.62,1.22,1.86,10.64
PRES_0,1.0,1.0,,1.0,14.91,1.08,2.62,1.22,1.86,10.63
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,29.64,1.0,13.79,1.08,2.62,1.22,1.85,10.8
DEWP_0,0.07,0.07,,0.08,1.07,0.07,0.16,0.09,,
WSPM_0,0.92,0.92,27.47,0.93,12.49,1.0,2.42,1.13,1.7,10.03
WSPM_1,0.38,0.38,,0.38,6.19,0.41,1.0,0.45,0.77,3.46
PM10_0,0.82,0.82,24.36,0.82,12.69,0.89,2.24,1.0,1.52,10.46
PM10_1,0.54,0.54,,0.54,,0.58,1.26,0.66,1.0,5.25
PM10_2,0.09,0.09,,0.09,,0.1,0.27,0.09,0.19,1.0
