,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.71,1.0,0.64,0.87,0.41,0.84,0.66,0.38
PRES_0,1.0,1.0,,1.0,0.64,0.87,0.41,0.84,0.65,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.71,0.99,1.21,0.87,0.41,0.84,0.65,0.39
DEWP_0,0.01,0.01,,0.01,,0.01,,,,
WSPM_0,0.86,0.85,0.52,0.85,0.92,0.74,0.42,0.73,0.54,0.32
WSPM_1,0.15,0.15,,0.15,0.03,0.14,0.03,0.11,0.12,0.06
PM10_0,0.67,0.67,0.32,0.67,0.34,0.59,0.27,0.46,0.77,0.86
PM10_1,0.29,0.29,,0.29,,0.25,0.12,0.42,0.09,0.06
PM10_2,0.01,0.01,,0.01,,0.01,,0.01,,
