,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.83,0.07,0.69,1.6,1.4,0.35,1.0,1.01,1.03,1.01,0.73
TEMP_0,0.07,2.06,1.36,0.32,0.55,1.73,1.0,0.99,0.97,0.99,1.31
PRES_1,0.68,1.36,1.49,0.07,0.75,1.4,0.98,1.11,1.06,0.91,0.99
PRES_0,1.61,0.31,0.07,2.78,1.47,0.24,1.03,0.8,0.89,1.16,1.01
DEWP_1,1.4,0.55,0.75,1.47,1.59,0.04,1.09,0.5,0.85,1.22,1.06
DEWP_0,0.36,1.73,1.4,0.24,0.04,2.56,0.86,1.82,1.24,0.65,0.91
WSPM_0,1.0,1.0,0.98,1.03,1.08,0.87,1.11,0.38,0.91,1.11,1.15
WSPM_1,1.01,0.99,1.11,0.8,0.53,1.77,0.38,4.64,1.52,0.37,0.16
PM10_0,1.03,0.97,1.06,0.89,0.85,1.24,0.9,1.57,1.67,0.17,
PM10_1,1.01,0.99,0.92,1.16,1.22,0.65,1.12,0.3,0.17,2.55,0.37
PM10_2,0.73,1.31,0.98,1.04,1.06,0.91,1.16,0.1,,0.39,9.78
