,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,608.91,1.0,146.52,1.08,3.42,1.29,2.41,50.27
PRES_0,1.0,1.0,802.33,1.0,145.94,1.08,3.4,1.29,2.4,50.07
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,599.55,0.99,166.7,1.07,3.37,1.28,2.38,51.13
DEWP_0,,,,,,,,,,
WSPM_0,0.62,0.63,412.44,0.63,98.75,0.68,2.2,0.81,1.48,31.35
WSPM_1,,,,,0.32,,0.01,,0.01,0.16
PM10_0,0.3,0.3,152.04,0.31,42.77,0.33,1.06,0.37,0.84,24.62
PM10_1,0.02,0.02,,0.02,,0.03,0.08,0.03,0.05,0.84
PM10_2,,,,,,,,,,
