,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.53,0.85,0.68,0.56,0.56,0.96,0.6,0.46,0.57,0.54,0.83
TEMP_0,0.73,0.47,0.52,0.8,0.73,0.5,0.55,0.45,0.55,0.49,0.54
PRES_1,0.79,0.66,0.66,1.07,0.83,0.7,0.7,0.59,0.7,0.65,0.8
PRES_0,0.39,0.67,0.6,0.34,0.41,0.78,0.43,0.31,0.41,0.38,0.51
DEWP_1,0.62,0.86,0.75,0.64,0.62,1.19,0.67,0.53,0.66,0.59,0.75
DEWP_0,0.63,0.4,0.44,0.76,0.81,0.39,0.47,0.37,0.45,0.44,0.56
WSPM_0,0.87,0.93,0.9,0.91,0.89,1.03,0.85,0.7,0.85,0.74,0.89
WSPM_1,0.26,0.21,0.23,0.31,0.31,0.21,0.23,0.15,0.21,0.29,0.95
PM10_0,0.65,0.65,0.65,0.74,0.71,0.67,0.62,0.47,0.56,0.62,1.85
PM10_1,0.43,0.48,0.45,0.42,0.43,0.58,0.43,0.37,0.47,0.35,0.36
PM10_2,0.17,0.15,0.16,0.18,0.17,0.16,0.16,0.11,0.18,0.14,0.09
