,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.21,1.64,0.23,0.56,0.23,0.57,0.2,0.7,0.27,0.45,2.65
TEMP_0,0.91,0.15,0.37,0.15,0.38,0.15,0.13,0.45,0.18,0.3,1.02
PRES_0,0.2,0.57,0.19,1.53,0.21,0.48,0.18,0.65,0.25,0.39,2.05
PRES_1,0.36,0.18,1.16,0.16,0.36,0.18,0.15,0.49,0.19,0.35,1.26
DEWP_1,0.2,0.59,0.21,0.47,0.19,1.66,0.17,0.75,0.25,0.39,2.11
DEWP_0,0.38,0.18,0.36,0.18,1.28,0.16,0.15,0.44,0.2,0.36,1.24
WSPM_0,0.88,1.02,0.9,0.99,0.87,1.03,0.56,3.44,0.87,1.33,5.55
WSPM_1,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.04,0.22
PM10_0,0.34,0.4,0.36,0.38,0.36,0.37,0.24,0.75,0.25,1.2,20.72
PM10_1,0.07,0.08,0.07,0.08,0.07,0.08,0.05,0.21,0.15,0.07,0.74
PM10_2,,,,,,,,,0.01,,
