,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,1255787257.34,1.28,4739.07,1.01,109272595.04,2.86,93.78,6.03,64.04,1226.57
TEMP_1,,,,,,,,,,,
PRES_1,0.93,1305021160.56,1.19,3604.26,0.94,97276371.87,2.66,88.41,5.65,58.92,1121.59
PRES_0,0.07,,0.08,769.4,0.07,11444924.58,0.2,5.44,0.39,5.15,103.57
DEWP_0,1.0,1350847581.65,1.28,4709.94,1.01,103658184.34,2.85,93.75,6.02,63.92,1222.41
DEWP_1,,,,,,1856745.94,0.01,,0.02,0.21,
WSPM_0,0.74,991892402.47,0.94,3327.33,0.74,60850358.58,2.13,65.35,4.4,47.87,890.29
WSPM_1,0.26,,0.33,1477.08,0.26,,0.73,28.13,1.64,16.49,389.27
PM10_0,0.59,875816693.69,0.75,2747.47,0.59,100745002.46,1.67,62.0,3.79,34.0,589.59
PM10_1,0.29,403855376.31,0.37,1424.8,0.29,26163191.17,0.84,24.04,1.76,21.39,348.0
PM10_2,0.11,,0.14,602.29,0.11,11267843.98,0.32,5.71,0.4,7.75,235.11
