,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.4,1.0,1.54,1.14,2.46,1.18,1.53,2.62
PRES_0,1.0,1.0,,1.0,1.54,1.14,2.46,1.18,1.53,2.62
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.41,1.0,0.7,1.14,2.44,1.18,1.53,2.63
DEWP_0,1.0,1.0,,0.59,191.45,0.78,5.31,1.45,,
WSPM_0,1.0,1.0,1.64,1.0,0.75,1.16,2.01,1.18,1.54,2.77
WSPM_1,1.0,1.0,,1.0,6.19,1.05,5.07,1.21,1.45,1.68
PM10_0,1.0,1.0,2.08,1.0,2.1,1.14,2.66,1.45,0.86,1.12
PM10_1,1.0,1.0,,1.0,,1.16,1.98,0.69,3.12,4.2
PM10_2,1.0,1.0,,1.0,,1.14,2.12,0.36,2.97,72.52
