,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.99,0.92,0.98,0.89,0.85,0.86,0.86,0.8,0.82,0.89,0.88,0.94,0.84,0.82,0.81,1.4,0.9,1.4,0.96,1.43,1.43,,1.43,,1.43,0.59,1.39,0.97
ENE,1.0,1.0,0.89,0.99,0.96,0.85,0.86,0.81,0.78,0.84,0.97,0.87,0.88,0.78,0.88,1.03,1.41,0.94,1.42,0.95,1.45,1.45,,1.45,,1.45,0.66,1.41,0.96
ESE,1.06,1.12,1.0,0.98,0.86,0.91,1.01,0.93,0.92,0.83,0.79,0.98,0.8,0.75,0.92,0.8,1.46,0.98,1.47,0.95,1.5,1.5,,1.5,,1.5,0.5,1.46,1.08
NE,0.97,1.02,1.0,1.0,0.99,1.06,0.91,0.87,0.92,0.81,1.12,0.91,0.87,0.81,0.91,1.28,1.49,1.05,1.49,1.1,1.53,1.53,,1.53,,1.53,0.51,1.49,0.95
SSW,1.22,1.04,1.14,1.05,1.0,1.0,1.16,1.03,1.0,1.04,0.83,0.95,0.85,0.69,0.69,0.67,1.52,1.18,1.54,1.03,1.56,1.56,,1.56,,1.56,,1.51,1.2
SW,1.2,1.17,1.17,1.01,1.02,1.0,0.89,1.04,1.09,1.12,0.88,0.75,0.81,0.78,0.9,0.62,1.51,1.15,1.54,0.94,1.57,1.57,,1.57,,1.57,,1.53,1.21
NNE,1.11,1.11,0.98,1.05,0.9,1.1,1.0,0.81,0.68,0.7,1.26,0.99,0.95,1.0,0.83,1.06,1.56,1.16,1.58,1.15,1.61,1.61,,1.61,,1.61,,1.58,0.95
SE,1.2,1.17,1.09,1.15,0.91,0.98,1.39,1.0,0.93,0.94,0.92,1.06,0.94,0.82,0.74,0.85,1.58,1.14,1.58,1.06,1.62,1.62,,1.62,,1.62,,1.57,1.3
S,1.35,1.37,1.2,1.11,1.01,1.0,1.54,1.09,1.0,0.98,0.91,1.01,0.87,1.35,0.67,0.68,1.56,1.16,1.59,1.02,1.62,1.62,,1.62,,1.62,,1.59,1.24
SSE,1.19,1.19,1.25,1.26,0.99,0.96,1.35,1.09,1.0,1.0,0.78,1.11,0.86,0.89,0.87,0.79,1.61,1.09,1.62,1.05,1.65,1.65,,1.65,,1.65,,1.61,1.22
WSW,1.15,0.98,1.14,0.87,1.22,1.11,0.76,1.18,1.2,1.34,1.0,0.81,0.9,0.7,0.79,0.84,1.61,1.16,1.61,1.09,1.66,1.66,,1.66,,1.66,,1.61,1.35
N,1.11,1.11,0.93,1.04,1.17,1.34,1.04,0.89,1.07,0.91,1.14,1.0,0.87,0.95,0.85,0.87,1.62,1.27,1.62,1.25,1.67,1.67,,1.67,,1.66,,1.62,0.97
NW,1.0,1.1,1.23,1.1,1.31,1.05,1.09,1.05,1.25,1.1,1.1,1.05,1.0,1.01,0.94,0.89,1.68,1.97,1.7,1.7,1.75,1.75,,1.75,,1.75,,1.69,1.3
NNW,1.25,1.26,1.34,1.24,1.4,1.32,1.08,1.13,,1.04,1.34,1.15,1.03,1.0,1.02,0.98,1.74,1.9,1.76,1.67,1.81,1.82,,1.82,,1.81,,1.76,1.25
WNW,1.12,1.18,1.11,1.15,1.38,1.14,1.27,1.19,1.44,1.17,1.21,1.09,1.06,0.94,1.0,1.15,1.81,1.56,1.82,1.37,1.86,1.86,,1.85,,1.86,,1.84,1.34
W,1.19,0.99,1.19,0.73,1.47,1.44,0.89,1.21,1.44,1.34,1.32,1.07,1.17,1.07,0.91,1.0,1.83,1.39,1.83,1.51,1.87,1.87,,1.87,,1.87,,1.82,1.67
PM2.5_0,0.71,0.7,0.68,0.67,0.66,0.66,0.64,0.63,0.64,0.63,0.62,0.63,0.6,0.58,0.56,0.55,1.0,0.71,1.01,0.67,1.03,1.03,0.32,1.03,0.41,1.03,0.44,1.0,0.75
PM2.5_1,1.07,1.04,1.01,0.97,0.85,0.85,0.89,0.94,0.83,0.84,0.86,0.77,0.5,0.55,0.67,0.82,1.41,1.0,1.4,1.0,1.45,1.45,,1.44,,1.44,,1.41,0.83
PM10_0,0.71,0.7,0.68,0.67,0.65,0.65,0.63,0.63,0.63,0.62,0.61,0.62,0.6,0.58,0.55,0.55,0.99,0.72,1.0,0.68,1.02,1.02,0.32,1.02,0.41,1.02,0.44,1.0,0.75
PM10_1,1.07,1.02,1.0,0.95,1.0,1.02,0.88,0.96,0.98,0.9,1.02,0.77,0.5,0.59,0.74,0.72,1.47,0.99,1.46,1.0,1.49,1.49,,1.49,,1.49,,1.45,0.9
TEMP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.39,1.0,0.39,0.97,0.72
PRES_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,0.39,1.0,0.39,0.97,0.72
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.37,1.0,0.39,0.97,0.72
DEWP_0,1.95,,,,,,,,,,,,1.59,1.97,,,2.66,,2.67,,2.73,2.73,,2.86,1.09,2.73,,2.49,1.73
RAIN_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.4,1.0,0.39,0.97,0.72
RAIN_1,,1.7,1.69,1.57,,,,,,,,,,,,,2.39,,2.44,,2.54,2.54,,2.53,,2.53,1.0,2.43,2.42
WSPM_0,0.71,0.7,0.68,0.66,0.66,0.66,0.63,0.64,0.64,0.62,0.62,0.61,0.59,0.56,0.55,0.56,1.0,0.68,1.0,0.68,1.03,1.03,0.32,1.03,0.38,1.03,0.43,1.0,0.74
