,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.0,0.97,1.04,0.93,1.03,0.94,1.08,0.8,1.06,0.86
TEMP_0,1.02,1.0,1.06,0.96,1.05,0.97,1.11,0.82,1.08,0.9
PRES_1,0.96,0.95,1.0,0.9,0.99,0.91,1.05,0.78,1.02,0.84
PRES_0,1.08,1.04,1.1,1.0,1.1,1.01,1.17,0.86,1.14,0.94
DEWP_1,0.97,0.95,1.01,0.91,1.0,0.91,1.06,0.76,1.03,0.85
DEWP_0,1.06,1.03,1.1,0.98,1.09,1.0,1.14,0.86,1.12,0.92
WSPM_0,0.92,0.9,0.96,0.86,0.94,0.88,1.0,0.74,0.98,0.8
WSPM_1,1.24,1.22,1.29,1.16,1.32,1.16,1.35,1.0,1.31,1.22
PM10_0,0.94,0.93,0.98,0.87,0.97,0.89,1.02,0.76,1.0,0.82
PM10_1,1.16,1.12,1.19,1.07,1.18,1.08,1.25,0.82,1.22,1.0
