,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.27,0.97,0.54,1.0,0.25,0.85,0.58,0.82,0.62,0.55
TEMP_1,,,,,,,,,,,
PRES_1,1.03,0.24,0.98,0.77,1.03,0.28,0.88,0.6,0.84,0.65,0.58
PRES_0,2.72,,3.3,0.53,2.71,0.36,2.29,1.51,2.45,1.41,1.1
DEWP_0,1.0,0.24,0.97,0.54,1.0,0.28,0.85,0.58,0.82,0.62,0.55
DEWP_1,8.91,,8.76,,8.9,0.27,8.02,,,4.48,
WSPM_0,1.12,0.23,1.09,0.54,1.12,0.23,0.93,0.75,0.97,0.63,0.53
WSPM_1,1.65,,1.59,1.37,1.65,,1.52,0.75,1.2,1.57,2.17
PM10_0,1.22,0.26,1.18,0.92,1.22,,1.05,0.64,0.88,0.94,1.67
PM10_1,1.59,,1.57,0.63,1.58,0.26,1.33,1.18,1.6,0.76,0.71
PM10_2,2.27,,2.22,1.02,2.27,0.26,1.94,1.49,2.87,1.34,0.6
