,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,27.02,0.04,0.43,2.32,3.95,0.25,0.99,1.01,1.23,0.78
TEMP_0,0.03,30.88,4.19,0.24,0.32,3.16,1.02,0.99,0.81,1.27
PRES_1,0.5,1.99,22.08,0.05,0.54,1.86,0.89,1.13,1.08,0.93
PRES_0,5.06,0.2,0.02,40.57,6.14,0.16,1.29,0.77,0.86,1.14
DEWP_1,2.53,0.39,0.51,1.95,36.86,0.03,2.19,0.46,0.8,1.24
DEWP_0,0.21,4.85,5.92,0.17,0.02,59.85,0.48,2.12,1.54,0.66
WSPM_0,1.0,1.0,0.95,1.05,1.25,0.8,2.93,0.34,0.85,1.18
WSPM_1,1.02,0.98,1.38,0.72,0.3,3.35,0.08,12.32,4.45,0.2
PM10_0,1.1,0.91,1.06,0.94,0.85,1.17,0.76,1.32,8.6,0.11
PM10_1,0.71,1.41,0.85,1.18,1.64,0.61,5.91,0.17,0.04,27.62
