,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.09,0.94,0.95,0.65,0.33,0.34,0.29,0.72,0.43,0.61,0.45,0.38,0.31,0.29,0.3,0.43,1.14,0.98,1.14,0.97,1.03,1.1,1.04,1.09,1.08,1.04,1.25,0.37,1.27,0.56
E,0.93,1.06,0.8,0.89,0.39,0.37,0.34,0.57,0.64,0.55,0.34,0.4,0.38,0.42,0.43,0.52,1.14,0.98,1.14,0.98,1.08,1.06,1.1,1.04,1.13,1.0,1.26,,1.29,0.5
NE,0.97,0.73,1.14,0.54,0.32,0.47,0.31,0.84,0.48,0.69,0.43,0.49,0.22,0.33,0.39,0.36,1.16,0.95,1.16,0.95,0.98,1.16,0.99,1.14,1.05,1.1,1.26,,1.26,0.63
ESE,0.81,1.05,0.6,1.11,0.39,0.3,0.39,0.51,0.94,0.41,0.43,0.32,0.57,0.57,0.44,0.42,1.18,0.99,1.17,1.01,1.17,1.02,1.15,1.04,1.2,0.98,1.3,,1.29,0.7
SW,0.4,0.41,0.41,0.48,1.34,0.38,1.06,0.35,0.55,0.2,0.91,0.33,0.8,0.67,0.49,0.55,1.27,0.76,1.27,0.79,1.24,0.95,1.18,1.03,1.14,1.08,1.31,,1.12,1.15
NW,0.52,0.4,0.54,0.38,0.39,1.44,0.27,0.49,0.24,0.56,0.44,0.98,,0.29,1.1,0.55,1.31,0.65,1.29,0.73,0.98,1.23,0.98,1.22,0.86,1.3,1.31,,0.94,1.37
SSW,0.41,0.46,0.28,0.61,1.07,0.31,1.3,0.29,0.62,0.32,0.65,,1.16,0.81,0.41,0.47,1.29,0.83,1.28,0.86,1.32,0.89,1.27,0.97,1.25,1.01,1.34,,1.23,1.02
NNE,0.92,0.74,1.03,0.54,0.25,0.51,0.31,1.13,0.33,0.93,0.44,0.84,0.28,0.33,0.38,0.44,1.28,0.91,1.28,0.89,1.12,1.16,1.14,1.14,1.19,1.09,1.34,,1.31,0.8
SE,0.64,0.74,0.54,1.0,0.56,0.39,0.62,0.53,1.2,0.52,0.43,0.29,0.69,1.1,0.35,0.5,1.24,0.99,1.24,1.01,1.22,1.05,1.21,1.07,1.22,1.05,1.35,,1.34,0.71
N,0.69,0.61,0.86,0.55,0.51,0.81,0.28,1.0,0.33,1.22,0.36,0.95,0.41,0.38,0.51,0.43,1.3,0.86,1.3,0.88,1.08,1.2,1.1,1.19,1.1,1.19,1.35,,1.24,1.02
WSW,0.29,0.49,0.25,0.37,1.22,0.43,0.9,0.33,0.45,0.38,1.44,0.3,0.66,0.56,0.51,0.9,1.34,0.72,1.33,0.77,1.24,1.05,1.2,1.1,1.16,1.14,1.36,,1.22,1.08
NNW,0.6,0.48,0.58,0.48,0.28,1.13,,0.68,0.38,1.11,0.41,1.35,0.29,0.33,0.7,0.41,1.35,0.71,1.33,0.8,1.05,1.25,1.02,1.27,0.96,1.31,1.36,,1.08,1.31
S,0.41,0.59,0.46,0.72,0.85,,1.05,0.41,0.98,0.26,0.56,0.38,1.22,1.08,0.33,0.53,1.29,0.92,1.3,0.91,1.33,0.94,1.29,1.01,1.29,1.02,1.37,,1.36,0.76
SSE,0.56,0.77,0.39,1.07,0.57,0.33,0.91,0.43,1.03,0.35,0.46,0.38,1.04,1.18,0.35,0.45,1.3,0.95,1.28,1.01,1.34,0.97,1.29,1.04,1.29,1.05,1.39,,1.35,0.85
WNW,0.51,0.43,0.44,0.5,0.47,1.3,0.41,0.48,0.37,0.58,0.66,0.82,0.4,0.36,1.4,0.99,1.38,0.76,1.35,0.84,1.15,1.22,1.15,1.21,1.0,1.33,1.39,,1.11,1.33
W,0.42,0.43,0.49,0.52,0.97,0.71,0.74,0.39,0.53,0.56,1.42,0.65,0.58,0.51,0.83,1.31,1.43,0.71,1.41,0.84,1.24,1.2,1.25,1.19,1.19,1.26,1.44,,1.37,0.97
PM2.5_0,0.58,0.56,0.58,0.53,0.56,0.59,0.53,0.52,0.49,0.53,0.52,0.54,0.48,0.46,0.51,0.45,1.05,0.3,1.04,0.43,0.9,0.83,0.89,0.85,0.88,0.86,1.02,0.24,0.94,0.77
PM2.5_1,0.82,0.82,0.75,0.76,0.53,0.31,0.53,0.56,0.66,0.52,0.5,0.34,0.58,0.63,0.32,0.46,0.49,1.48,0.58,1.42,0.9,1.1,0.95,1.05,0.99,1.02,1.18,,1.21,0.46
PM10_0,0.58,0.56,0.58,0.53,0.55,0.58,0.53,0.52,0.49,0.53,0.52,0.54,0.48,0.46,0.51,0.45,1.04,0.42,1.05,0.35,0.9,0.83,0.88,0.86,0.88,0.86,1.03,0.24,0.95,0.76
PM10_1,0.79,0.79,0.73,0.72,0.6,0.42,0.53,0.56,0.64,0.51,0.51,0.36,0.57,0.61,0.37,0.44,0.75,1.33,0.54,1.42,0.91,1.07,0.97,1.02,0.96,1.02,1.17,,1.17,0.6
TEMP_1,0.61,0.62,0.56,0.6,0.61,0.5,0.6,0.54,0.56,0.5,0.54,0.47,0.57,0.54,0.47,0.45,1.03,0.64,1.02,0.67,1.17,0.25,1.11,0.58,1.11,0.56,1.06,0.29,1.01,0.74
TEMP_0,0.67,0.63,0.68,0.56,0.52,0.64,0.45,0.54,0.51,0.57,0.51,0.58,0.43,0.44,0.53,0.47,1.0,0.81,0.99,0.82,0.26,1.21,0.55,1.14,0.53,1.15,1.08,,1.02,0.76
PRES_0,0.61,0.63,0.56,0.61,0.61,0.49,0.61,0.53,0.56,0.5,0.56,0.45,0.56,0.55,0.47,0.46,1.02,0.68,1.01,0.71,1.12,0.53,1.18,0.24,1.1,0.6,1.07,0.29,1.02,0.73
PRES_1,0.66,0.61,0.68,0.55,0.52,0.65,0.45,0.54,0.5,0.57,0.49,0.59,0.45,0.44,0.52,0.45,1.01,0.77,1.0,0.77,0.59,1.13,0.24,1.2,0.61,1.12,1.08,,1.01,0.77
DEWP_1,0.64,0.66,0.6,0.63,0.59,0.42,0.59,0.54,0.57,0.5,0.53,0.41,0.56,0.55,0.41,0.45,1.01,0.7,1.01,0.71,1.13,0.51,1.1,0.6,1.18,0.22,1.07,0.29,1.05,0.63
DEWP_0,0.63,0.58,0.65,0.53,0.54,0.69,0.48,0.53,0.49,0.57,0.52,0.61,0.45,0.44,0.57,0.47,1.01,0.75,1.0,0.78,0.58,1.13,0.61,1.12,0.22,1.2,1.08,,0.97,0.85
RAIN_0,0.59,0.58,0.58,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.46,0.46,0.43,0.94,0.67,0.94,0.69,0.86,0.83,0.85,0.84,0.85,0.84,1.0,0.18,0.94,0.7
RAIN_1,1.48,,,,,,,,,,,,,,,,1.79,,1.85,,2.14,,2.12,,2.17,,1.69,3.48,1.4,2.29
WSPM_0,0.65,0.64,0.63,0.59,0.51,0.41,0.51,0.53,0.54,0.49,0.5,0.42,0.49,0.5,0.39,0.45,0.95,0.73,0.95,0.74,0.88,0.85,0.88,0.85,0.91,0.83,1.03,0.24,1.03,0.49
WSPM_1,0.48,0.42,0.49,0.49,0.73,0.94,0.63,0.49,0.45,0.64,0.59,0.78,0.55,0.42,0.76,0.43,1.16,0.58,1.14,0.66,1.0,0.97,0.97,1.01,0.85,1.1,1.17,0.21,0.75,1.29
