,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.33,1.0,0.36,0.92,0.36,0.82,0.57,0.24
PRES_0,1.0,1.0,0.39,1.0,0.36,0.92,0.36,0.82,0.57,0.24
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.33,1.0,0.4,0.92,0.36,0.82,0.57,0.24
DEWP_0,3.83,3.83,,3.82,0.18,3.5,1.26,3.05,2.31,0.28
WSPM_0,1.04,1.04,0.5,1.03,0.4,0.95,0.38,0.85,0.58,0.24
WSPM_1,1.55,1.55,,1.55,0.42,1.42,0.53,1.25,1.0,0.45
PM10_0,1.1,1.1,0.3,1.09,0.39,1.0,0.4,0.87,0.67,0.37
PM10_1,1.32,1.32,,1.32,0.44,1.21,0.46,1.11,0.66,0.22
PM10_2,2.89,2.89,,2.88,,2.64,1.02,2.5,1.46,0.23
