,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.64,1.0,1.71,1.08,2.25,1.17,1.53,2.65
PRES_0,1.0,1.0,1.34,1.0,1.71,1.08,2.25,1.17,1.53,2.65
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.65,1.0,1.48,1.08,2.25,1.17,1.52,2.63
DEWP_0,0.91,0.91,,0.92,12.86,0.99,2.28,1.11,1.61,5.63
WSPM_0,1.0,1.0,1.99,1.0,1.48,1.08,2.21,1.17,1.51,2.58
WSPM_1,1.0,1.0,,1.0,2.73,1.08,2.46,1.17,1.63,3.09
PM10_0,1.0,1.0,2.0,1.0,2.01,1.08,2.31,1.21,1.38,2.27
PM10_1,1.0,1.0,,1.0,0.91,1.08,2.08,1.1,1.82,3.21
PM10_2,1.0,1.0,,1.0,,1.08,2.1,1.07,1.87,8.85
