,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.01,9.98,1.11,4.92,1.09,5.21,1.55,0.97,1.46,1.22,1.96
TEMP_0,12.11,1.02,6.41,1.17,7.73,1.17,1.87,1.2,1.89,1.54,0.96
PRES_0,1.15,5.44,1.01,14.45,1.17,4.64,1.6,1.03,1.58,1.21,1.58
PRES_1,5.06,1.11,14.89,1.01,5.24,1.2,1.79,1.11,1.72,1.56,1.09
DEWP_1,1.13,6.14,1.18,4.71,1.01,17.48,1.56,1.22,1.6,1.22,1.75
DEWP_0,5.44,1.09,4.76,1.18,18.76,1.01,1.85,0.95,1.71,1.53,1.02
WSPM_0,1.19,1.21,1.19,1.24,1.13,1.35,1.02,0.98,1.13,0.81,0.72
WSPM_1,4.45,3.96,4.67,3.97,6.22,3.24,5.0,1.18,3.05,4.28,6.03
PM10_0,1.61,1.7,1.72,1.65,1.73,1.65,1.53,0.8,1.04,2.31,11.58
PM10_1,2.65,2.81,2.55,3.03,2.57,3.12,2.42,1.96,4.6,1.09,1.78
PM10_2,20.6,7.75,15.88,8.99,17.86,9.06,10.35,12.94,56.28,9.34,1.13
