,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,2382.48,1.01,661.36,1.36,34.88,2.04,8.03,794.8
PRES_0,1.0,1.0,1590.12,1.01,662.12,1.36,34.87,2.04,8.04,795.7
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2393.06,1.01,501.14,1.37,34.88,2.04,8.03,777.93
DEWP_0,0.82,0.82,,0.83,36753.2,1.12,36.61,1.81,8.25,4594.15
WSPM_0,1.0,1.0,2786.35,1.01,515.65,1.36,33.76,2.03,7.98,770.08
WSPM_1,1.0,1.0,,1.01,1520.95,1.37,41.53,2.04,8.29,940.59
PM10_0,1.0,1.0,3541.61,1.01,853.77,1.37,36.14,2.19,6.63,508.81
PM10_1,1.0,1.0,,1.0,260.37,1.36,31.83,1.81,11.41,1281.8
PM10_2,1.0,1.0,,1.01,,1.37,31.73,1.64,11.61,8860.15
