,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.01,1.0,0.53,0.87,0.56,0.04
PRES_0,1.0,1.0,,1.0,0.01,1.0,0.53,0.87,0.56,0.04
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,0.01,1.0,0.53,0.87,0.56,0.04
DEWP_0,0.97,0.97,,0.82,0.85,0.9,0.77,0.97,0.56,
WSPM_0,1.0,1.0,,1.0,0.01,1.0,0.48,0.86,0.56,0.04
WSPM_1,1.0,1.0,,1.0,0.03,0.98,0.79,0.87,0.56,0.03
PM10_0,1.0,1.0,,1.0,0.01,0.99,0.56,0.98,0.4,0.02
PM10_1,1.0,1.0,,1.0,,1.0,0.45,0.67,0.93,0.07
PM10_2,1.0,1.0,,1.0,,1.0,0.46,0.41,0.96,0.65
