,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.61,1.28,0.66,1.19,0.87,0.68,0.67,0.64,0.72,0.68,0.97
TEMP_0,0.87,0.41,0.7,0.47,0.47,0.85,0.47,0.55,0.52,0.54,0.7
PRES_0,0.7,1.01,0.66,2.02,0.92,0.72,0.71,0.73,0.79,0.72,0.96
PRES_1,0.64,0.4,1.05,0.35,0.41,0.89,0.43,0.44,0.45,0.51,0.74
DEWP_0,0.79,0.63,0.8,0.66,0.57,1.5,0.64,0.62,0.66,0.7,0.97
DEWP_1,0.5,0.86,0.51,1.04,1.19,0.45,0.51,0.56,0.59,0.52,0.71
WSPM_0,0.79,0.8,0.78,0.9,0.83,0.8,0.67,0.84,0.8,0.73,0.94
WSPM_1,0.46,0.55,0.48,0.55,0.46,0.59,0.49,0.36,0.44,0.49,0.8
PM10_0,0.63,0.64,0.65,0.67,0.6,0.72,0.57,0.55,0.49,0.79,2.26
PM10_1,0.54,0.62,0.54,0.69,0.61,0.56,0.5,0.54,0.74,0.44,0.74
PM10_2,0.17,0.17,0.16,0.21,0.18,0.18,0.15,0.17,0.28,0.17,0.09
