,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.55,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,0.99,0.44,0.85,0.2,0.72,0.43,0.15
DEWP_0,0.01,0.01,,0.01,,,,,,
WSPM_0,0.86,0.85,0.43,0.85,0.34,0.73,0.17,0.62,0.36,0.12
WSPM_1,0.15,0.15,,0.15,0.03,0.13,0.02,0.1,0.07,0.02
PM10_0,0.67,0.67,0.17,0.67,0.2,0.58,0.13,0.46,0.35,0.2
PM10_1,0.29,0.29,,0.29,0.13,0.25,0.06,0.24,0.09,0.02
PM10_2,0.01,0.01,,0.01,,0.01,,0.01,,
