,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.24,0.74,0.93,1.23,1.17,0.59,1.09,1.44,1.13,1.23,0.91
TEMP_0,0.85,1.3,1.17,0.7,0.82,1.27,1.1,1.45,1.14,1.23,1.06
PRES_1,0.99,1.15,1.16,0.73,0.92,1.09,1.08,1.45,1.12,1.2,1.01
PRES_0,1.23,0.74,0.76,1.44,1.2,0.59,1.12,1.41,1.15,1.27,0.92
DEWP_1,1.19,0.85,0.95,1.15,1.18,0.58,1.08,1.31,1.08,1.25,0.93
DEWP_0,0.84,1.29,1.2,0.72,0.67,1.4,1.12,1.64,1.22,1.19,1.07
WSPM_0,1.04,0.99,1.0,0.96,1.0,0.89,1.05,1.33,1.08,1.19,0.93
WSPM_1,1.14,1.17,1.18,1.23,1.05,1.27,1.19,1.89,1.31,1.31,1.52
PM10_0,1.07,0.98,1.04,1.01,1.01,1.02,1.08,1.63,1.22,1.09,0.8
PM10_1,1.14,1.1,1.07,1.03,1.08,0.91,1.13,1.29,1.12,1.44,0.98
PM10_2,1.09,1.42,1.25,1.21,1.11,1.0,1.25,0.65,0.61,1.54,2.27
