,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.91,0.95,0.84,0.84,0.82,0.81,0.75,0.8,0.92,0.84,0.92,0.76,0.77,0.73,1.56,0.91,1.56,0.94,1.61,1.6,,1.6,,1.6,0.48,1.55,0.98
ENE,1.0,1.0,0.86,0.97,0.97,0.81,0.83,0.79,0.72,0.79,0.94,0.85,0.82,0.69,0.84,1.03,1.58,0.94,1.59,0.93,1.64,1.64,,1.64,,1.64,0.53,1.58,0.98
ESE,1.09,1.15,1.0,0.96,0.82,0.92,1.0,0.9,0.91,0.78,0.78,0.93,0.74,0.7,0.88,0.78,1.66,1.0,1.67,0.96,1.71,1.71,,1.71,,1.71,0.45,1.65,1.1
NE,1.02,1.03,1.04,1.0,1.03,1.13,0.9,0.85,0.88,0.78,1.09,0.89,0.79,0.78,0.85,1.15,1.7,1.07,1.7,1.07,1.75,1.75,,1.75,,1.75,0.47,1.69,0.97
SSW,1.3,1.05,1.16,1.07,1.0,1.01,1.17,1.04,0.98,1.02,0.82,0.93,0.74,0.71,0.64,0.63,1.74,1.19,1.76,1.06,1.8,1.8,,1.8,,1.8,,1.73,1.24
SW,1.21,1.19,1.18,0.92,1.04,1.0,0.94,1.07,1.07,1.13,0.85,0.7,0.78,0.77,0.84,0.57,1.73,1.18,1.76,0.96,1.81,1.81,,1.81,,1.81,,1.75,1.24
NNE,1.16,1.15,1.01,1.08,0.89,1.0,1.0,0.77,0.69,0.68,1.24,0.98,0.92,1.01,0.81,1.01,1.81,1.17,1.83,1.16,1.88,1.88,,1.88,,1.88,,1.82,1.02
SE,1.26,1.19,1.14,1.18,0.89,0.98,1.42,1.0,0.92,0.94,0.88,1.06,0.99,0.76,0.64,0.89,1.83,1.17,1.83,1.1,1.89,1.89,,1.89,,1.89,,1.82,1.34
S,1.39,1.47,1.22,1.14,1.01,1.0,1.48,1.08,1.0,0.98,0.89,0.89,0.91,,0.66,0.64,1.81,1.24,1.85,1.08,1.9,1.9,,1.89,,1.89,,1.85,1.3
SSE,1.29,1.26,1.29,1.33,1.02,0.93,1.43,1.1,1.0,1.0,0.75,1.12,0.83,0.89,0.88,0.79,1.86,1.16,1.88,1.08,1.94,1.94,,1.94,,1.94,,1.88,1.29
WSW,1.13,1.05,1.12,0.93,1.24,1.14,0.74,1.18,1.23,1.45,1.0,0.82,0.86,0.67,0.73,0.77,1.88,1.2,1.88,1.17,1.95,1.95,,1.95,,1.95,,1.88,1.44
N,1.16,1.17,0.98,1.05,1.26,1.42,1.05,0.9,1.18,0.85,1.18,1.01,0.89,0.94,0.88,0.82,1.88,1.29,1.89,1.27,1.96,1.96,,1.96,,1.96,,1.89,1.02
NW,1.04,1.19,1.32,1.25,1.52,1.12,1.16,0.93,1.24,1.11,1.17,1.04,1.0,1.0,0.91,0.85,2.0,1.99,2.02,1.69,2.09,2.09,,2.09,,2.09,,2.03,1.45
NNW,1.37,1.36,1.42,1.26,1.28,1.38,1.09,1.25,,1.0,1.34,1.17,1.03,1.0,0.99,1.05,2.08,2.02,2.11,1.84,2.19,2.2,,2.2,,2.19,,2.12,1.34
WNW,1.16,1.23,1.2,1.22,1.43,1.25,1.28,1.33,1.54,1.11,1.3,1.12,1.09,0.96,1.0,1.17,2.19,1.66,2.21,1.49,2.27,2.27,,2.26,,2.27,,2.22,1.45
W,1.3,0.99,1.22,0.8,1.58,1.53,0.98,1.16,1.57,1.35,1.39,1.14,1.22,1.02,0.88,1.0,2.23,1.44,2.23,1.6,2.29,2.28,,2.28,,2.28,,2.21,1.86
PM2.5_0,0.64,0.63,0.6,0.59,0.58,0.57,0.55,0.55,0.55,0.54,0.53,0.54,0.5,0.49,0.46,0.45,1.0,0.63,1.01,0.59,1.04,1.04,0.23,1.04,0.31,1.04,0.33,1.0,0.69
PM2.5_1,1.07,1.05,1.0,0.96,0.83,0.82,0.87,0.89,0.79,0.8,0.82,0.75,0.5,0.5,0.64,0.76,1.58,1.0,1.57,0.99,1.63,1.63,,1.63,,1.63,,1.58,0.84
PM10_0,0.64,0.63,0.6,0.59,0.57,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.5,0.48,0.46,0.45,0.99,0.65,1.0,0.6,1.03,1.03,0.22,1.03,0.3,1.03,0.33,0.99,0.68
PM10_1,1.09,1.04,1.01,0.95,0.97,1.0,0.85,0.92,0.93,0.87,0.96,0.74,0.51,0.53,0.66,0.64,1.67,1.0,1.65,1.0,1.7,1.7,,1.7,,1.7,,1.64,0.93
TEMP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.29,1.0,0.29,0.97,0.65
PRES_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,,1.0,0.29,1.0,0.29,0.97,0.65
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.52,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.27,1.0,0.29,0.97,0.65
DEWP_0,2.28,,,,,,,,,,,,1.68,2.04,,,3.5,,3.52,,3.63,3.63,,3.82,1.07,3.62,,3.4,2.06
RAIN_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.29,1.0,0.29,0.97,0.65
RAIN_1,,2.09,,1.9,,,,,,,,,,,,,3.21,,3.28,,3.43,3.43,,3.42,,3.42,1.0,3.25,3.03
WSPM_0,0.64,0.63,0.6,0.58,0.58,0.58,0.54,0.55,0.55,0.53,0.54,0.52,0.5,0.47,0.45,0.46,1.0,0.61,1.01,0.6,1.04,1.04,0.23,1.03,0.27,1.03,0.33,1.0,0.67
WSPM_1,1.0,1.02,0.92,1.06,0.84,0.81,0.93,0.78,0.79,0.84,0.74,0.92,0.73,0.74,0.7,0.59,1.47,1.27,1.49,1.02,1.55,1.55,,1.55,0.49,1.55,0.35,1.49,1.0
