,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.17,1.01,0.62,1.0,0.37,1.13,1.23,1.05,1.16,0.8
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.24,1.04,0.31,1.0,0.32,1.12,1.26,1.07,1.11,0.76
PRES_0,1.0,,0.65,4.67,1.0,1.03,1.19,0.83,0.71,1.82,1.42
DEWP_0,1.0,0.22,1.01,0.61,1.0,0.3,1.13,1.23,1.05,1.16,0.8
DEWP_1,1.0,,0.99,,1.0,24.42,1.2,,,1.43,
WSPM_0,1.0,0.29,1.01,0.64,1.0,0.35,1.18,0.94,0.97,1.31,0.89
WSPM_1,1.0,,1.02,0.56,1.0,,0.97,2.06,1.27,0.75,0.54
PM10_0,1.0,0.23,1.03,0.41,1.0,,1.09,1.63,1.35,0.74,0.25
PM10_1,1.0,,0.99,0.9,1.0,0.45,1.19,0.74,0.77,1.96,0.85
PM10_2,1.0,,0.98,0.99,1.0,1.01,1.18,0.46,0.24,1.33,3.43
