,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.03,1.0,0.07,0.92,0.38,0.82,0.54,0.09
PRES_0,1.0,1.0,0.03,1.0,0.07,0.93,0.38,0.82,0.54,0.09
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.03,1.0,0.06,0.93,0.38,0.82,0.54,0.1
DEWP_0,16.21,16.2,,16.34,1.09,14.78,5.63,13.29,9.15,
WSPM_0,1.08,1.08,0.04,1.08,0.07,1.0,0.41,0.89,0.57,0.1
WSPM_1,2.64,2.64,,2.63,0.2,2.44,1.0,2.13,1.55,0.24
PM10_0,1.22,1.22,0.04,1.22,0.09,1.13,0.48,1.0,0.65,0.13
PM10_1,1.85,1.85,,1.85,,1.72,0.65,1.53,1.0,0.16
PM10_2,10.64,10.63,,10.61,,9.84,3.61,8.03,6.1,1.0
