,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.0,0.96,1.05,0.9,1.04,0.92,1.11,0.75,1.08,0.83
TEMP_0,1.03,1.0,1.08,0.95,1.06,0.96,1.14,0.77,1.11,0.86
PRES_1,0.95,0.93,1.0,0.87,0.99,0.88,1.06,0.71,1.03,0.8
PRES_0,1.11,1.05,1.14,1.0,1.14,1.02,1.23,0.82,1.19,0.92
DEWP_1,0.97,0.94,1.01,0.88,1.0,0.88,1.08,0.7,1.05,0.81
DEWP_0,1.08,1.05,1.13,0.97,1.12,1.0,1.19,0.82,1.16,0.9
WSPM_0,0.9,0.87,0.94,0.81,0.93,0.84,1.0,0.67,0.97,0.75
WSPM_1,1.34,1.3,1.4,1.21,1.43,1.22,1.49,1.0,1.43,1.25
PM10_0,0.92,0.9,0.97,0.84,0.96,0.86,1.03,0.7,1.0,0.77
PM10_1,1.21,1.16,1.26,1.09,1.24,1.11,1.34,0.8,1.3,1.0
