,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.8,0.78,0.72,0.79,0.79,0.74,0.7,0.67,0.69,0.67,0.75,0.71,0.73,0.67,0.62,0.66,1.48,0.89,1.48,0.87,1.54,1.54,,1.53,,1.53,0.44,1.46,0.86
ENE,0.81,0.79,0.74,0.76,0.79,0.78,0.64,0.7,0.7,0.73,0.8,0.66,0.69,0.67,0.68,0.79,1.48,0.91,1.49,0.87,1.56,1.56,,1.56,,1.56,0.52,1.48,0.86
ESE,0.86,0.88,0.77,0.85,0.8,0.77,0.83,0.74,0.76,0.7,0.75,0.82,0.72,0.67,0.67,0.62,1.58,0.91,1.59,0.86,1.63,1.63,,1.62,,1.63,0.4,1.54,0.94
NE,0.84,0.81,0.8,0.77,0.89,0.9,0.71,0.76,0.75,0.74,0.85,0.68,0.74,0.67,0.78,0.85,1.58,1.12,1.59,1.12,1.66,1.66,,1.66,,1.66,0.54,1.58,0.92
SSW,1.01,0.99,0.93,0.96,0.76,0.77,1.03,0.83,0.73,0.78,0.7,0.85,0.8,0.72,0.7,0.54,1.63,1.07,1.65,0.96,1.71,1.71,,1.7,,1.7,,1.62,1.03
SW,1.04,1.04,0.93,0.9,0.79,0.76,0.82,0.88,0.8,0.85,0.69,0.77,0.77,0.64,0.74,0.56,1.64,1.11,1.65,0.93,1.72,1.72,,1.71,,1.71,,1.63,1.03
NNE,0.91,0.91,0.88,0.83,0.85,0.99,0.76,0.74,0.77,0.75,0.94,0.76,0.74,0.76,0.66,0.81,1.68,1.34,1.7,1.16,1.77,1.77,,1.77,,1.77,0.82,1.68,0.95
SE,0.94,0.95,0.86,0.91,0.83,0.83,1.08,0.75,0.78,0.74,0.81,1.0,0.9,0.81,0.66,0.67,1.74,1.03,1.73,0.95,1.78,1.78,,1.78,,1.78,0.43,1.69,1.11
S,1.03,1.06,0.96,1.02,0.78,0.79,1.12,0.84,0.75,0.75,0.75,0.92,0.9,0.93,0.69,0.61,1.72,1.03,1.72,0.98,1.79,1.79,,1.78,,1.78,,1.7,1.06
SSE,0.98,1.01,0.96,1.02,0.87,0.88,1.12,0.79,0.81,0.75,0.73,0.89,0.93,0.88,0.81,0.66,1.77,1.02,1.78,0.95,1.83,1.83,,1.82,,1.82,0.57,1.73,1.09
WSW,0.96,0.89,1.01,0.81,0.95,0.84,0.81,1.01,1.0,0.99,0.75,0.8,0.84,0.74,0.68,0.64,1.74,1.23,1.76,1.05,1.83,1.83,,1.83,,1.83,,1.74,1.22
N,0.98,0.93,0.9,0.89,1.05,1.1,0.81,0.81,0.94,0.88,0.91,0.76,0.7,0.71,0.72,0.7,1.77,1.36,1.77,1.2,1.85,1.85,,1.85,,1.85,0.67,1.76,0.99
NW,1.0,0.94,1.08,0.94,1.15,1.07,0.87,0.97,1.07,1.04,0.91,0.83,0.72,0.73,0.67,0.7,1.85,2.76,1.87,1.77,1.96,1.96,,1.96,,1.95,,1.86,1.11
NNW,1.13,1.07,1.2,0.99,1.4,1.34,0.87,1.04,0.96,0.98,0.99,0.87,0.75,0.73,0.7,0.8,1.94,2.36,1.97,1.74,2.05,2.05,,2.07,,2.05,,1.95,1.16
WNW,1.19,1.13,1.14,1.02,1.14,0.95,1.13,1.21,1.18,1.04,0.98,0.83,0.82,0.72,0.72,0.84,1.99,2.0,2.02,1.56,2.1,2.1,,2.1,,2.1,,2.02,1.19
W,1.13,0.97,1.07,0.87,1.16,1.12,0.88,1.01,1.27,1.18,0.99,0.94,0.95,0.79,0.76,0.75,2.03,1.57,2.04,1.39,2.12,2.11,,2.11,,2.11,,2.01,1.41
PM2.5_0,0.55,0.54,0.52,0.51,0.52,0.51,0.48,0.47,0.48,0.47,0.47,0.47,0.47,0.44,0.42,0.4,0.98,0.7,0.99,0.63,1.03,1.03,0.34,1.03,0.41,1.03,0.35,0.98,0.6
PM2.5_1,0.85,0.82,0.77,0.79,0.71,0.76,0.74,0.79,0.74,0.66,0.74,0.66,0.41,0.49,0.52,0.72,1.55,0.76,1.52,0.76,1.56,1.56,,1.55,,1.55,,1.48,0.8
PM10_0,0.55,0.54,0.52,0.51,0.51,0.5,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.43,0.41,0.4,0.97,0.69,0.98,0.62,1.03,1.03,0.34,1.03,0.41,1.03,0.35,0.98,0.6
PM10_1,0.85,0.83,0.79,0.8,0.79,0.83,0.78,0.77,0.83,0.7,0.85,0.67,0.44,0.52,0.59,0.76,1.63,0.78,1.59,0.75,1.62,1.62,,1.62,,1.62,,1.54,0.85
TEMP_1,0.53,0.52,0.5,0.5,0.5,0.49,0.47,0.46,0.46,0.45,0.46,0.45,0.44,0.41,0.4,0.39,0.96,0.63,0.96,0.58,1.0,1.0,0.34,1.0,0.4,1.0,0.31,0.95,0.58
